l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
5863,5171,28559,230000,3,,60,,,,58514.6400070098,,,,,"","SRID=4326;LINESTRING(-96.8636932594696 45.6456149787207,-96.4955723277936 45.305595976605)"
6787,635,28866,230000,3,,60,Oahe - Sully Buttes 230kV,,,29990.0166742287,,,,,"","SRID=4326;LINESTRING(-100.390419099281 44.4491840219153,-100.326408487852 44.7058752360139)"
18886,12423,25045,,,,,,,,190.803984644738,,,,,"","SRID=4326;LINESTRING(-96.5947031004413 43.5942594061997,-96.5971585332634 43.5947906733873)"
35194,8646,12361,,,,,,,,440.255063664679,,,,,"","SRID=4326;LINESTRING(-96.8345938135361 43.4186914388045,-96.8269346338225 43.4178171438277)"
19470,12969,25330,,3,,,,,,1169.1275443406,,,,,"","SRID=4326;LINESTRING(-103.187838552058 44.0814770793399,-103.171357218371 44.0821595593691)"
32113,8602,8615,230000,3,,60,,,,24571.6881284442,,,,,"","SRID=4326;LINESTRING(-101.696026448982 44.3042519958681,-101.686392398781 44.0832582160677)"
19491,25332,25337,,3,,,,,,4319.66689943576,,,,,"","SRID=4326;LINESTRING(-103.231945709676 44.1184369174885,-103.245644029612 44.0849145969643)"
18908,12447,25054,,,,,,,,915.297405564211,,,,,"","SRID=4326;LINESTRING(-96.6299941550955 43.5380725795151,-96.6303990733847 43.5295147627554)"
28879,8636,5211,230000,3;6;3;3;3,,60,,,,72845.7956245676,,,,,"","SRID=4326;LINESTRING(-96.7695097352201 42.7744641292839,-97.5787347084807 43.055197817028)"
19416,5169,25307,,,,,,,,423.516689903108,,,,,"","SRID=4326;LINESTRING(-98.0976199058795 45.4434222211493,-98.102438685067 45.4450000010314)"
19418,12879,25307,,,,,,,,32.148613312654,,,,,"","SRID=4326;LINESTRING(-98.1024404821894 45.4456366154628,-98.102438685067 45.4450000010314)"
7407,2291,29138,115000,3,,60,,,,81.4966416048241,,,,,"","SRID=4326;LINESTRING(-96.6317197545174 43.6005356882381,-96.6367731004155 43.6037635661421)"
19468,12963,25329,,6,,,,,,611.95652099907,,,,,"","SRID=4326;LINESTRING(-103.094222470572 44.0972036506924,-103.101212179579 44.0985809642118)"
35261,12449,12451,,,,,,,,94.2266757572065,,,,,"","SRID=4326;LINESTRING(-96.7286840723032 43.5691375878589,-96.7277121981818 43.5708882639604)"
18984,25086,25087,,3,,,,,,8067.08125627681,,,,,"","SRID=4326;LINESTRING(-96.8663960206649 43.4176305141865,-96.8662805871509 43.4902511663654)"
14648,8405,23144,230000,6,,60,,,,172.253832901189,,,,,"","SRID=4326;LINESTRING(-103.227911849368 44.0249220812899,-103.231712417197 44.0245730679673)"
32118,28866,8617,230000,3,,60,Sully Buttes - Glenham 230kV,,GH-*A,34494.6444299781,,,,,"","SRID=4326;LINESTRING(-100.326408487852 44.7058752360139,-100.22833412927 45.0097137025707)"
12897,7951,22378,345000,3,,60,,,,86470.0313998321,,,,,"","SRID=4326;LINESTRING(-96.5368474227598 44.3867171783629,-96.5421151625442 43.6088056982032)"
1930,3429,30449,230000,3,,60,,Black Hills Power,,3472.94545091698,,,,,"","SRID=4326;LINESTRING(-103.753160765817 44.3229291407031,-103.785107555138 44.3442021287248)"
28868,5196,5197,,,,,,,,3439.82571675771,,,,,"","SRID=4326;LINESTRING(-97.9215438484536 44.6240218409754,-97.9243206147319 44.6005971310115)"
4558,21866,29578,230000,6,,60,Watertown to Granite Falls 230kV transmission line,,,45075.7713998172,,,,,"","SRID=4326;LINESTRING(-96.4807631930793 44.8513474859529,-97.0432236832791 44.8827115850105)"
