v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
2332,-98.3297452308829,43.902790308423,substation,,,,,,SRID=4326;POINT(-98.3297452308829 43.902790308423)
12394,-96.9600550685146,43.3734640670601,station,,,,,,SRID=4326;POINT(-96.9600550685146 43.3734640670601)
18015,-103.100880431745,44.115318859975,sub_station,,,,,,SRID=4326;POINT(-103.100880431745 44.115318859975)
25086,-96.8663960206649,43.4176305141865,joint,,,,,,SRID=4326;POINT(-96.8663960206649 43.4176305141865)
21867,-96.4753779726141,44.8513743610467,joint,230000,60,Watertown to Granite Falls 230kV transmission line,,,SRID=4326;POINT(-96.4753779726141 44.8513743610467)
4736,-98.3007974178727,45.5173771684805,station,,,Groton Substation,WAPA,GR,SRID=4326;POINT(-98.3007974178727 45.5173771684805)
8617,-100.22833412927,45.0097137025707,station,,,Whitlock Substation,,,SRID=4326;POINT(-100.22833412927 45.0097137025707)
8615,-101.686392398781,44.0832582160677,substation,,,Philip Substation,,,SRID=4326;POINT(-101.686392398781 44.0832582160677)
8309,-103.684184199715,43.444743650722,sub_station,,,West Hill Substation,,,SRID=4326;POINT(-103.684184199715 43.444743650722)
5196,-97.9215438484536,44.6240218409754,sub_station,,,,,,SRID=4326;POINT(-97.9215438484536 44.6240218409754)
17748,-103.24547523617,44.0828104038091,sub_station,,,,,,SRID=4326;POINT(-103.24547523617 44.0828104038091)
25087,-96.8662805871509,43.4902511663654,joint,,,,,,SRID=4326;POINT(-96.8662805871509 43.4902511663654)
12968,-103.189220542082,44.0962407878464,substation,,,,,,SRID=4326;POINT(-103.189220542082 44.0962407878464)
20269,-96.5421266609799,43.6077858655683,joint,345000,60,,,,SRID=4326;POINT(-96.5421266609799 43.6077858655683)
5205,-97.6922106587386,43.9656865014933,sub_station,,,,,,SRID=4326;POINT(-97.6922106587386 43.9656865014933)
13728,-103.738568939931,44.3589690603321,station,,,Black Hills Power,,,SRID=4326;POINT(-103.738568939931 44.3589690603321)
25337,-103.245644029612,44.0849145969643,joint,,,,,,SRID=4326;POINT(-103.245644029612 44.0849145969643)
21865,-96.4780685167215,44.8512916978035,joint,230000,60,,,,SRID=4326;POINT(-96.4780685167215 44.8512916978035)
442,-98.5546966388918,43.0629582439756,substation,,,Fort Randall Substation,,,SRID=4326;POINT(-98.5546966388918 43.0629582439756)
12878,-98.1038559260025,45.4539002057315,station,,,,,,SRID=4326;POINT(-98.1038559260025 45.4539002057315)
25054,-96.6303990733847,43.5295147627554,joint,,,,,,SRID=4326;POINT(-96.6303990733847 43.5295147627554)
7951,-96.5368474227598,44.3867171783629,substation,,,,,,SRID=4326;POINT(-96.5368474227598 44.3867171783629)
25307,-98.102438685067,45.4450000010314,joint,,,,,,SRID=4326;POINT(-98.102438685067 45.4450000010314)
29579,-98.1024196183929,45.3734727007006,merge,,,Groton Substation,WAPA,GR,SRID=4326;POINT(-98.1024196183929 45.3734727007006)
25057,-96.7212963630497,43.5736986575163,joint,,,,,,SRID=4326;POINT(-96.7212963630497 43.5736986575163)
12453,-96.720395631957,43.5572534304193,station,,,,,,SRID=4326;POINT(-96.720395631957 43.5572534304193)
