l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
10250,3972,21214,500000,,,,500kV transmission line,TVA,,3200.35333559859,,,,,"","SRID=4326;LINESTRING(-86.8467920273917 36.4926315894788,-86.8531747774057 36.4645431630884)"
10129,13642,21149,161000;500000;161000,3,,,,TVA,,561.032928958238,,,,,"","SRID=4326;LINESTRING(-88.8340447582737 36.2750631010998,-88.8256899985522 36.275855114126)"
1209,4058,30149,161000;500000,,,,161kV transmission line;500kV transmission line,TVA,,2267.23449012897,,,,,"","SRID=4326;LINESTRING(-84.0034795520272 35.7504308474745,-84.0288442326951 35.7582262312442)"
30610,3944,7157,500000,,,,,,,64725.5381952733,,,,,"","SRID=4326;LINESTRING(-87.0186162482926 35.6728630223746,-86.3355974431519 35.5212819606104)"
1211,21271,30150,161000;500000,,,,161kV transmission line;500kV transmission line,TVA,,12828.3543116429,,,,,"","SRID=4326;LINESTRING(-84.179834216114 35.755712481821,-84.3115715641096 35.7277636404913)"
10430,21299,21300,500000,,,,500kV transmission line,TVA,,292.110728631744,,,,,"","SRID=4326;LINESTRING(-82.9332949172801 36.3696048772126,-82.9308281435099 36.3678653188193)"
10303,28658,21239,500000,,,,500kV transmission line,TVA,,1016.50008953,,,,,"","SRID=4326;LINESTRING(-84.7880190035235 35.6021250574814,-84.7870054268189 35.5897926642332)"
10361,28469,21266,161000,6;3;3,,,161kV transmission line,TVA,,1000.86799879402,,,,,"","SRID=4326;LINESTRING(-83.814976619652 36.1216858152571,-83.8250637287666 36.127199702637)"
4492,7171,29555,500000,,,,500kV transmission line,TVA,,76409.8846319942,,,,,"","SRID=4326;LINESTRING(-85.8762721671455 35.3035410978188,-85.0935361746955 35.2262063456813)"
29,21300,29646,500000,,,,500kV transmission line,TVA,,23.7479087659187,,,,,"","SRID=4326;LINESTRING(-82.9308281435099 36.3678653188193,-82.9302743089966 36.3680944571272)"
30630,28659,7004,500000,,,,500kV transmission line,TVA,,57083.3290589531,,,,,"","SRID=4326;LINESTRING(-84.3888741719227 35.9459166259796,-84.9839219205739 35.9887429078365)"
10324,20185,21248,500000,6,,,500kV transmission line,TVA,,1036.93778207381,,,,,"","SRID=4326;LINESTRING(-85.088502583883 35.2369247800506,-85.0806313657005 35.2437018674881)"
30613,7157,7169,,,,,,,,114.976243584761,,,,,"","SRID=4326;LINESTRING(-86.3355974431519 35.5212819606104,-86.3356711860925 35.5180212047047)"
10422,4094,21294,500000,,,,500kV transmission line,TVA,,1201.97605172171,,,,,"","SRID=4326;LINESTRING(-82.9612309456714 36.3769931665584,-82.9485799315024 36.3789940884865)"
3326,3944,31036,500000,,,,Maury - Davidson 500kV transmission line,TVA,,43405.9229477438,,,,,"","SRID=4326;LINESTRING(-87.0186162482926 35.6728630223746,-86.9814762078223 36.0549979415214)"
10369,21269,21270,500000;161000,,,,500kV transmission line,TVA,,2621.23684153359,,,,,"","SRID=4326;LINESTRING(-84.0240431693134 35.8115011978635,-84.0108363176693 35.7904779659617)"
27827,30129,3934,500000,,,,Johnsonville - Davidson 500kV transmission line,TVA,,85426.0459564238,,,,,"","SRID=4326;LINESTRING(-87.9213306363277 36.0432657563559,-86.9841045938268 36.0670375106547)"
13568,7171,22626,500000,,,,500kV transmission line,TVA,,22646.789411213,,,,,"","SRID=4326;LINESTRING(-85.8762721671455 35.3035410978188,-86.0998784821889 35.3293308205704)"
