l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
32099,3350,8604,345000,6,,60,,,,6699.64812901018,,,,,"","SRID=4326;LINESTRING(-96.1328032092439 31.3713190685568,-96.2062842864884 31.3769871467229)"
28564,4808,4846,138000,,,,,,,4227.02103084449,,,,,"","SRID=4326;LINESTRING(-95.4505387911979 29.7246880330842,-95.4478356057192 29.6837535719641)"
31160,22881,7721,230000;120000,3,,60,,,,66.7780068756914,,,,,"","SRID=4326;LINESTRING(-102.409739469351 34.1631723753015,-102.409684800804 34.1650476612359)"
2823,2715,30833,345000,6,,60,,,,15.6064551614585,,,,,"","SRID=4326;LINESTRING(-96.0818019146851 30.6225120144962,-96.0820222557522 30.624318349885)"
32049,8555,8557,345000,3,,60,,,,2177.66070318863,,,,,"","SRID=4326;LINESTRING(-96.9433159439615 32.9078388808142,-96.9338926364363 32.8874810319422)"
14564,23107,23108,345000,3,,60,,,,335.698382047067,,,,,"","SRID=4326;LINESTRING(-97.1930883163343 33.051829010093,-97.1905915388336 33.0540272887722)"
18312,9562,19023,,,,,,,,1898.17333349405,,,,,"","SRID=4326;LINESTRING(-101.43993118437 35.6316324883692,-101.434562892218 35.6313079607377)"
32020,8524,8525,345000,3,,60,,,,69600.1108309581,,,,,"","SRID=4326;LINESTRING(-94.5746480761771 32.2570087739959,-95.2534609049089 32.4198921898959)"
14738,23159,23188,345000,6,,60,,,,2076.4817447193,,,,,"","SRID=4326;LINESTRING(-97.4804861455196 32.4020234096167,-97.4613079226874 32.4113238724859)"
14853,23249,23250,115000,3,,60,,,,18.2971178312329,,,,,"","SRID=4326;LINESTRING(-101.920861020374 35.2898742805563,-101.920643807738 35.2898973776319)"
14563,8296,23108,345000,6,,60,,,,16724.2178898189,,,,,"","SRID=4326;LINESTRING(-97.0352514625902 33.0721697374195,-97.1905915388336 33.0540272887722)"
14988,23316,23319,230000,3,,60,,,,1336.00831470828,,,,,"","SRID=4326;LINESTRING(-101.751172676802 35.2806220153268,-101.747913319456 35.2919557038836)"
33142,9727,9731,230000;230000;115000,3;6,,60,,,,1309.70330265733,,,,,"","SRID=4326;LINESTRING(-101.966461959784 33.591704534446,-101.95795062321 33.5857497456821)"
38426,5862,15830,,,,,,,,1914.24291283311,,,,,"","SRID=4326;LINESTRING(-101.391696098201 36.4964315386648,-101.391660055664 36.4755914377846)"
1938,8413,30453,,,,,,,,2251.88457586682,,,,,"","SRID=4326;LINESTRING(-100.684202402311 32.5307321209323,-100.660665852236 32.5368152568765)"
14986,9745,23317,230000,3,,60,,,,84575.0214095364,,,,,"","SRID=4326;LINESTRING(-100.890966352804 35.4019339588284,-101.743045977752 35.2838468184655)"
14854,7209,23251,230000,6,,,,,,1893.71711313859,,,,,"","SRID=4326;LINESTRING(-101.922621474384 35.3102863267623,-101.920866140771 35.2915272079616)"
36215,28835,228,138000,6,,60,,,,10697.4909473027,,,,,"","SRID=4326;LINESTRING(-96.5477364381825 32.8369888047865,-96.653249384902 32.857505257966)"
14083,28778,22883,115000,6,,60,,,,1691.49370740122,,,,,"","SRID=4326;LINESTRING(-101.843150194482 33.8681615397114,-101.861989209577 33.8695030142185)"
37482,14847,14842,230000,3,,60,,Entergy,,2186.72787738919,,,,,"","SRID=4326;LINESTRING(-93.8972246505424 29.9617856867639,-93.8899277057535 29.945671967105)"
203,17048,29726,,,,,,,,4798.00114429789,,,,,"","SRID=4326;LINESTRING(-96.3982704602593 32.6675780262159,-96.4357294117844 32.6369726918633)"
7868,11775,29313,69000,3,,60,,CenterPoint Energy,,5280.41448342965,,,,,"","SRID=4326;LINESTRING(-95.1635553370611 29.8179555463028,-95.2192288776366 29.8190640687166)"
28394,4649,4651,345000,3,,60,Jewett - Rattlesnake Road 345kV,,,27011.6007515483,,,,,"","SRID=4326;LINESTRING(-96.6774056198253 31.4375903686679,-96.9606808032259 31.4735078631622)"
5983,5811,28596,138000,3,,60,,,,77.8749329384426,,,,,"","SRID=4326;LINESTRING(-98.8876487333651 29.987966082504,-98.886347700945 29.9851839729803)"
28408,4666,4671,345000,,,60,Addicks to White Oak 345kV,CenterPoint Energy,71,5424.16363232159,,,,,"","SRID=4326;LINESTRING(-95.5248352899121 29.8184057649964,-95.5729953136248 29.8225770777916)"
14667,28588,23152,345000,6;3;3,,60,,,,269.708010344777,,,,,"","SRID=4326;LINESTRING(-100.023240003285 32.1975609518144,-100.018429033928 32.1949925231532)"
14850,7209,23248,230000,3,,60,,,,16061.4642038858,,,,,"","SRID=4326;LINESTRING(-101.922621474384 35.3102863267623,-102.046257928862 35.24800106614)"
11658,18495,18496,345000,3,,60,,,,690.791325809794,,,,,"","SRID=4326;LINESTRING(-96.3444628929982 33.2755402192214,-96.3439435769324 33.2693120890646)"
32035,8538,8539,345000,3,,60,,,,130.364553015114,,,,,"","SRID=4326;LINESTRING(-94.6243024536306 32.0146990683722,-94.6212396762988 32.0177717517196)"
5287,8680,28403,345000,6;3;3;3;3,,60,,,,28512.0722245568,,,,,"","SRID=4326;LINESTRING(-96.69355669919 31.0912726991773,-96.4843071837949 31.1853757903425)"
37481,14776,14842,230000,6,,60,Gulfway - Sabine 230kV,Entergy,,11000.4424531187,,,,,"","SRID=4326;LINESTRING(-93.8792346347842 30.0244290854214,-93.8899277057535 29.945671967105)"
25496,659,19413,345000;138000;345000,3,,60,,,,512.476982362616,,,,,"","SRID=4326;LINESTRING(-97.4714934248834 32.6849213760756,-97.4719914965299 32.6807270947124)"
31915,8407,8419,345000,6;3;3;6;6,,60,,,,37458.2548415953,,,,,"","SRID=4326;LINESTRING(-99.822556692866 32.5240566004081,-100.216929481671 32.464004006059)"
14736,23186,23187,345000,3,,60,,,,556.148347244413,,,,,"","SRID=4326;LINESTRING(-96.5284122612003 32.6696872010005,-96.5262981660106 32.672040006491)"
32263,8826,8778,345000,6;3;3,,60,San Miguel - Elm Creek 345kv,,,101033.215757833,,,,,"","SRID=4326;LINESTRING(-98.4743068968024 28.7040056867851,-97.9998795064563 29.4672993816825)"
32097,8601,8603,345000,3,,60,,,,20986.6686520677,,,,,"","SRID=4326;LINESTRING(-97.3592981449859 31.8578891808734,-97.1773181886253 31.7461157932637)"
14680,23158,23160,345000,3,,60,,,,532.538068504928,,,,,"","SRID=4326;LINESTRING(-97.4861354706784 32.4006107748584,-97.4821918665811 32.4030355630491)"
33117,23690,9695,230000;115000;230000;115000,3,,60,,,,2.36718804930091,,,,,"","SRID=4326;LINESTRING(-102.767172293706 33.1263571739702,-102.767649773569 33.1249041411023)"
1932,8387,30450,345000,6,,60,,,,17999.8818223265,,,,,"","SRID=4326;LINESTRING(-96.1588532349344 33.6336603403522,-96.3531566442875 33.6225365215956)"
6692,23094,28832,345000,3,,60,,Oncor Electric Delivery,,23351.6066129764,,,,,"","SRID=4326;LINESTRING(-98.6010295392335 33.8039052754116,-98.4296432790265 33.8865576795102)"
6772,4651,28862,345000;138000;345000,3,,60,Lake Creek - Rattlesnake Road 345kV,,,2181.10698744224,,,,,"","SRID=4326;LINESTRING(-96.9606808032259 31.4735078631622,-96.9857136022057 31.4667580418583)"
6753,15406,28856,345000,6,,60,,,,63.2952978568115,,,,,"","SRID=4326;LINESTRING(-96.5254671061749 33.0228357832151,-96.5233011298068 33.0198240249994)"
32017,8520,8522,138000,3,,60,,,,9840.01548338094,,,,,"","SRID=4326;LINESTRING(-96.4291720163022 32.8577801847127,-96.4757137149399 32.7772975569291)"
34772,14716,11775,345000,6,,60,,,,3382.43967241546,,,,,"","SRID=4326;LINESTRING(-95.126248584746 29.8201546489517,-95.1635553370611 29.8179555463028)"
32033,23190,8538,345000,3;6,,60,,,,1680.79808301284,,,,,"","SRID=4326;LINESTRING(-94.6257397059212 32.0312342767082,-94.6243024536306 32.0146990683722)"
31722,23094,8254,345000,3,,60,Bowman - Jacksboro 345kV,Oncor Electric Delivery,,74214.3987999427,,,,,"","SRID=4326;LINESTRING(-98.6010295392335 33.8039052754116,-98.1068030768269 33.2771933536505)"
32061,28859,8569,138000,3,,60,Transmission Line,,,33714.5510866043,,,,,"","SRID=4326;LINESTRING(-94.6118322705169 31.5848955327401,-94.7686090768809 31.3701487150339)"
42503,3052,3074,345000,3,2,60,,,,7117.42178167844,,,,,"","SRID=4326;LINESTRING(-98.7181901772876 29.4161356968762,-98.7183930312109 29.483820160901)"
36703,30982,14128,345000,6,,60,,,,7162.83191238698,,,,,"","SRID=4326;LINESTRING(-95.5907660367969 29.6282353001611,-95.5914787524592 29.5625494976259)"
5717,297,28518,345000,6,,60,,,,3360.57395279436,,,,,"","SRID=4326;LINESTRING(-97.9495205727066 29.772607444062,-97.9897085844186 29.7810463671025)"
31974,8470,8471,,,,,,,,4577.37845316026,,,,,"","SRID=4326;LINESTRING(-95.6164957258007 33.0857378389286,-95.5687973746064 33.0949608102675)"
6817,8839,28881,345000,6,2,60,,,,7748.72911944701,,,,,"","SRID=4326;LINESTRING(-98.3184839187426 29.3819815572745,-98.321823509077 29.3114369973508)"
14767,6449,23203,345000,6,,60,,,,30032.0363929637,,,,,"","SRID=4326;LINESTRING(-95.7816443139551 30.3509727156733,-95.9242618153013 30.5903694777701)"
15910,9733,23709,230000;115000,6,,60,,,,6175.72976853265,,,,,"","SRID=4326;LINESTRING(-101.826266258168 33.5117123114038,-101.87909924113 33.4979235101543)"
12350,22130,22131,345000,3,,60,,,,500.552471328642,,,,,"","SRID=4326;LINESTRING(-97.084049639338 32.6386844107986,-97.085199033744 32.6425819151282)"
27381,4693,3491,345000,6;3;3,,60,,,74;75,40790.5845108373,,,,,"","SRID=4326;LINESTRING(-95.4899667403025 30.0907058489345,-95.2163187026846 29.9153422305446)"
14750,28858,23194,345000,6;3;3;3;3;3;3,,60,,,,2729.39257492046,,,,,"","SRID=4326;LINESTRING(-96.9175319947698 32.8152349485126,-96.9144880480525 32.7911837813546)"
20523,25861,25862,,,,,,,,253.007790032971,,,,,"","SRID=4326;LINESTRING(-95.4845500482856 32.6877650226348,-95.4833615771647 32.6881820564207)"
31717,8252,8255,138000,3;6,,60,,,,216.221774013915,,,,,"","SRID=4326;LINESTRING(-98.6094524346226 33.138418493122,-98.6110967995682 33.1345081466703)"
32320,22135,8840,345000;138000,9,,60,,,,4698.17242066249,,,,,"","SRID=4326;LINESTRING(-97.0218575654194 32.7180607520733,-97.0339598536173 32.7574963238208)"
10618,21366,21368,345000,3,,60,,,,244.600838649026,,,,,"","SRID=4326;LINESTRING(-98.1769126153816 29.6167534831273,-98.1794298744708 29.6164361042195)"
12254,22085,22086,345000,6,,60,,,,738.105644162543,,,,,"","SRID=4326;LINESTRING(-95.230618416021 29.760628588233,-95.2311977395477 29.7672829989644)"
32047,214,8553,345000,3,,60,,,,978.492112380004,,,,,"","SRID=4326;LINESTRING(-96.8259887693829 32.7776339373579,-96.8353318964714 32.7847340033701)"
2835,2770,30840,345000,3;6,,60,,,,6785.06360365175,,,,,"","SRID=4326;LINESTRING(-96.7551901763392 29.918292415192,-96.747678679797 29.9805937648328)"
14959,8866,23302,345000;138000,3;6,,60,,,,2292.0377014425,,,,,"","SRID=4326;LINESTRING(-97.2337222087311 28.6916472840641,-97.2100035931342 28.6961319654911)"
26542,18169,18172,,,,,,,,1809.87223313718,,,,,"","SRID=4326;LINESTRING(-97.8784408943629 32.919900015327,-97.8590739354895 32.9199169819868)"
14997,23250,23323,230000;115000,6,,60,,,,7417.98877429895,,,,,"","SRID=4326;LINESTRING(-101.920643807738 35.2898973776319,-101.839455330001 35.2942921545748)"
31108,7652,7654,230000,3;6;3,,60,,Entergy,,196.450676724749,,,,,"","SRID=4326;LINESTRING(-93.7384011057838 30.2661058829008,-93.7378551084635 30.259695791373)"
14977,28884,23311,345000,6,,60,,,,2523.21802223567,,,,,"","SRID=4326;LINESTRING(-97.5838594108968 27.0028431208315,-97.5848261844223 27.0273281868788)"
31161,23248,7721,230000,3,,60,,,,152024.283802313,,,,,"","SRID=4326;LINESTRING(-102.046257928862 35.24800106614,-102.409684800804 34.1650476612359)"
486,8467,29845,345000,3,,60,,,,18046.7111219433,,,,,"","SRID=4326;LINESTRING(-96.3507741365716 32.9692516588946,-96.5260714527936 32.9888229288933)"
33027,14080,9562,,,,,,,,17336.1137456804,,,,,"","SRID=4326;LINESTRING(-101.41117263487 35.7136888928905,-101.43993118437 35.6316324883692)"
12347,5838,22130,345000,6,,60,,,,3576.16793204376,,,,,"","SRID=4326;LINESTRING(-97.0807828240626 32.6051092888713,-97.084049639338 32.6386844107986)"
20525,17758,25863,,,,,,,,32555.446079894,,,,,"","SRID=4326;LINESTRING(-95.7930627782241 32.6302529539933,-95.4981884505922 32.6937167177362)"
10550,21345,21346,345000,3,,60,,,,429.080137988446,,,,,"","SRID=4326;LINESTRING(-97.0870130017972 32.6406804619558,-97.0827267802506 32.642067315707)"
32360,8885,8882,345000;345000;138000,3;6,,60,,,,60820.7440374698,,,,,"","SRID=4326;LINESTRING(-98.1891393400325 26.3435975654387,-97.6134083042758 26.2774841489269)"
31728,30446,8260,345000,6;3;3;3,,60,,,,59101.002502418,,,,,"","SRID=4326;LINESTRING(-98.2624383493331 33.0055522793413,-97.6763432379171 32.806056840531)"
5482,8463,28457,138000,6,,60,,Oncor,,10006.1464666581,,,,,"","SRID=4326;LINESTRING(-96.9610595217949 32.6655334128557,-96.9861529501646 32.731544300671)"
28528,30733,4821,345000,6,,60,,,,5112.14001681421,,,,,"","SRID=4326;LINESTRING(-95.5827956263995 29.6024244082265,-95.5299894574376 29.6126449459242)"
32356,8826,8878,345000,3,,60,San Miguel - Lobo 345kV,,,168736.674123846,,,,,"","SRID=4326;LINESTRING(-98.4743068968024 28.7040056867851,-99.2760120102323 27.5788036868766)"
