v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
8456,-97.260048166895,33.2194062589518,substation,138000,60,,,,SRID=4326;POINT(-97.260048166895 33.2194062589518)
8467,-96.3507741365716,32.9692516588946,substation,345000;138000;69000,60,Royse Substation,Oncor Electric Delivery,,SRID=4326;POINT(-96.3507741365716 32.9692516588946)
11349,-95.3697342068093,29.9406263524671,substation,345000;138000;35000,60,North Belt Substation,CenterPoint Energy,NB,SRID=4326;POINT(-95.3697342068093 29.9406263524671)
20755,-96.2351593926561,29.0276126014297,joint,345000,60,,,,SRID=4326;POINT(-96.2351593926561 29.0276126014297)
9740,-101.854909253968,33.5186096375001,substation,,,,,,SRID=4326;POINT(-101.854909253968 33.5186096375001)
8470,-95.6164957258007,33.0857378389286,substation,345000,60,Sulphur Springs Switching Station,,,SRID=4326;POINT(-95.6164957258007 33.0857378389286)
8792,-95.4300701168797,29.4907031811782,substation,69000,60,Arcola Substation,CenterPoint Energy,AR,SRID=4326;POINT(-95.4300701168797 29.4907031811782)
8419,-100.216929481671,32.464004006059,substation,345000,,Sweetwater East Substation,Oncor Electric Delivery,,SRID=4326;POINT(-100.216929481671 32.464004006059)
8543,-95.3954695334408,31.3643873526118,substation,345000,60,Crockett Substation,,,SRID=4326;POINT(-95.3954695334408 31.3643873526118)
29640,-97.6952670176295,32.7779783544127,joint,,,,,,SRID=4326;POINT(-97.6952670176295 32.7779783544127)
8545,-96.8434933669768,32.557792946923,station,,,,,,SRID=4326;POINT(-96.8434933669768 32.557792946923)
619,-96.0505596183314,28.7994675952618,substation,345000,60,South Texas Station,CenterPoint Energy,,SRID=4326;POINT(-96.0505596183314 28.7994675952618)
30740,-94.9378883071546,29.7193218631195,joint,345000,,,,,SRID=4326;POINT(-94.9378883071546 29.7193218631195)
14697,-95.1290190402046,29.692381754385,substation,138000;12000,60,Deer Park Substation,CenterPoint Energy,DE,SRID=4326;POINT(-95.1290190402046 29.692381754385)
23320,-101.749117690758,35.2919919983518,joint,230000,60,,,,SRID=4326;POINT(-101.749117690758 35.2919919983518)
8413,-100.684202402311,32.5307321209323,sub_station,,,Tonkawa Substation,Oncor Electric Delivery,,SRID=4326;POINT(-100.684202402311 32.5307321209323)
18499,-96.9206139294695,30.0501730271132,joint,,,,,,SRID=4326;POINT(-96.9206139294695 30.0501730271132)
25855,-94.6560662010924,31.3532649770654,joint,,,,,,SRID=4326;POINT(-94.6560662010924 31.3532649770654)
8404,-99.422824867865,32.7684258719027,sub_station,,,,,,SRID=4326;POINT(-99.422824867865 32.7684258719027)
28752,-94.6988389751664,32.7443585414553,merge,345000;138000;138000,60,Diana Substation,,,SRID=4326;POINT(-94.6988389751664 32.7443585414553)
25869,-95.194738805258,32.9265449661312,joint,,,,,,SRID=4326;POINT(-95.194738805258 32.9265449661312)
8483,-100.830184252558,31.9393262057324,station,,,,,,SRID=4326;POINT(-100.830184252558 31.9393262057324)
21365,-98.1792514690554,29.6185442655142,joint,345000,60,,,,SRID=4326;POINT(-98.1792514690554 29.6185442655142)
19137,-97.0292461187997,32.7859487223719,joint,345000;138000;138000;345000,60,,,,SRID=4326;POINT(-97.0292461187997 32.7859487223719)
5788,-98.4134004434534,29.776785789792,substation,138000;24900,,Antler Substation,Pedernales Electric Cooperative,,SRID=4326;POINT(-98.4134004434534 29.776785789792)
22130,-97.084049639338,32.6386844107986,joint,345000,60,,,,SRID=4326;POINT(-97.084049639338 32.6386844107986)
23154,-98.1379576222434,32.181367604718,joint,345000;138000;345000;138000,60,,,,SRID=4326;POINT(-98.1379576222434 32.181367604718)
22882,-102.569594494497,34.1753651658745,joint,230000,60,,,,SRID=4326;POINT(-102.569594494497 34.1753651658745)
7735,-102.36078602099,34.8209039702582,sub_station,,,Deaf Smith Interchange,Southwestern Public Service Company,,SRID=4326;POINT(-102.36078602099 34.8209039702582)
8893,-101.77634752146,35.1486875042959,sub_station,,,,,,SRID=4326;POINT(-101.77634752146 35.1486875042959)
15438,-102.223219190402,31.1536188420053,substation,345000;138000,,North McCamey Subsation,Lower Colorado River Authority,,SRID=4326;POINT(-102.223219190402 31.1536188420053)
8538,-94.6243024536306,32.0146990683722,sub_station,,,,,,SRID=4326;POINT(-94.6243024536306 32.0146990683722)
595,-96.7261783125807,32.5585404135383,substation,345000;138000;13000,60,Watermill Substation,,,SRID=4326;POINT(-96.7261783125807 32.5585404135383)
8296,-97.0352514625902,33.0721697374195,substation,138000,60,Highlands Substation,,,SRID=4326;POINT(-97.0352514625902 33.0721697374195)
28856,-96.5233011298068,33.0198240249994,merge,,,,,,SRID=4326;POINT(-96.5233011298068 33.0198240249994)
8822,-95.1339860835391,29.4883540458992,substation,138000;12500,60,Magnolia Substation,Texas New Mexico Power,FW,SRID=4326;POINT(-95.1339860835391 29.4883540458992)
8604,-96.2062842864884,31.3769871467229,sub_station,,,,,,SRID=4326;POINT(-96.2062842864884 31.3769871467229)
8555,-96.9433159439615,32.9078388808142,substation,138000,60,,,,SRID=4326;POINT(-96.9433159439615 32.9078388808142)
3075,-98.6818735904585,29.5481708026078,substation,138000,60,Helotes Substation,CPS Energy,,SRID=4326;POINT(-98.6818735904585 29.5481708026078)
8552,-96.9938059413822,32.7848002202394,substation,138000,60,Irving Belt Line Substation,Oncor,,SRID=4326;POINT(-96.9938059413822 32.7848002202394)
9716,-102.784157150282,32.9653306749913,station,,,,,,SRID=4326;POINT(-102.784157150282 32.9653306749913)
3052,-98.7181901772876,29.4161356968762,substation,345000;138000,,Cagnon Road Substation,CPS Energy,,SRID=4326;POINT(-98.7181901772876 29.4161356968762)
19379,-97.7967940961676,32.2984204520798,joint,345000,60,,,,SRID=4326;POINT(-97.7967940961676 32.2984204520798)
28588,-100.023240003285,32.1975609518144,merge,138000;34500;345000;138000,,Bluff Creek Substation,American Electric Power,,SRID=4326;POINT(-100.023240003285 32.1975609518144)
613,-97.6972711878395,32.4025230471287,station,,,Decordova Station,,,SRID=4326;POINT(-97.6972711878395 32.4025230471287)
2717,-96.2589023470973,30.8588812002253,sub_station,,,,,,SRID=4326;POINT(-96.2589023470973 30.8588812002253)
29686,-95.2755726790189,32.9545507548944,joint,,,,,,SRID=4326;POINT(-95.2755726790189 32.9545507548944)
22137,-96.3655044013927,33.6217532004112,joint,345000,60,,,,SRID=4326;POINT(-96.3655044013927 33.6217532004112)
23325,-101.760158883915,35.2943142239093,joint,230000;115000;115000;230000,60,,,,SRID=4326;POINT(-101.760158883915 35.2943142239093)
