l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
7933,19662,29337,,,,,,,,684.071480890214,,,,,"","SRID=4326;LINESTRING(-111.987733694819 41.0748156087679,-111.988617274954 41.0678077217597)"
25422,546,19376,,,,,,,,20.0668336041204,,,,,"","SRID=4326;LINESTRING(-111.939007469049 41.1905867145553,-111.937762122363 41.1908136186178)"
37363,813,407,345000,3,,60,,,,34525.4760940582,,,,,"","SRID=4326;LINESTRING(-112.069774700388 41.6370275418135,-112.047483977627 41.3398870045286)"
1412,424,30235,230000,,,,,,,19505.4213775203,,,,,"","SRID=4326;LINESTRING(-111.903673092937 40.9189428379471,-112.005991610591 40.785147702607)"
13731,414,22714,345000,3,,60,,,,135414.901178383,,,,,"","SRID=4326;LINESTRING(-111.58636271598 40.0918700126605,-111.005484681454 39.1799150942054)"
20675,22575,25930,,6,,,,,,4551.23032068262,,,,,"","SRID=4326;LINESTRING(-111.835402419504 40.3652046078814,-111.88404861759 40.3824315059229)"
37377,19292,424,345000,6,,,High Tension Power Line,,,19619.6919446459,,,,,"","SRID=4326;LINESTRING(-112.017985270496 41.0674034050478,-111.903673092937 40.9189428379471)"
1913,8207,30441,,3,,,,,,1522.04362604057,,,,,"","SRID=4326;LINESTRING(-110.862430056049 39.7274922517687,-110.849121978594 39.7329706790656)"
40183,246,711,,,,,,,,315.091555774106,,,,,"","SRID=4326;LINESTRING(-112.001511020641 41.1599199464448,-112.005224879026 41.1564980290802)"
37362,407,417,345000,6,,,,,,5230.85547505616,,,,,"","SRID=4326;LINESTRING(-112.047483977627 41.3398870045286,-112.055439610181 41.3043938086688)"
31642,8203,8206,,,,,,,,188.774685884887,,,,,"","SRID=4326;LINESTRING(-110.849026834196 39.7336336311923,-110.848777402239 39.7353903521824)"
38739,2389,16151,345000,3,,,,,,26524.9871534224,,,,,"","SRID=4326;LINESTRING(-112.907522254695 37.8841333932116,-113.158964642492 37.8005741082087)"
30844,3752,7401,345000,3;6;3;3;3;6,,60,,,,119700.339072553,,,,,"","SRID=4326;LINESTRING(-111.992945406239 38.8445053602366,-111.028748885881 39.1773847453046)"
14488,8169,23073,,3,,,,,,5831.84147204902,,,,,"","SRID=4326;LINESTRING(-111.590641476212 40.1444244187275,-111.575976331635 40.0926620034217)"
37391,411,426,138000;345000,6,,,,,,2420.12629811925,,,,,"","SRID=4326;LINESTRING(-112.005832930404 40.7578493345651,-112.005149716243 40.7835081564996)"
1615,30315,30316,345000,6,,,,,,3049.02048049261,,,,,"","SRID=4326;LINESTRING(-112.011780790825 40.5355565124587,-112.030242277549 40.5587930274169)"
37371,416,422,345000,6,,60,,,,5060.63149140876,,,,,"","SRID=4326;LINESTRING(-112.043399762625 41.094982879202,-112.057636544967 41.1411209891634)"
5234,246,28376,,,,,,,,3237.70428520306,,,,,"","SRID=4326;LINESTRING(-112.001511020641 41.1599199464448,-111.96422572382 41.1464739343842)"
14551,18173,23099,,,,,,,,16.9749546804678,,,,,"","SRID=4326;LINESTRING(-110.17116681548 40.3333385077604,-110.171383848452 40.3333509707266)"
24200,606,19294,,3,,,,,,8511.15796147267,,,,,"","SRID=4326;LINESTRING(-111.929958041178 41.2401799288153,-111.928240160014 41.3079769130452)"
7848,409,29309,345000,6,,,,,,6211.20261951363,,,,,"","SRID=4326;LINESTRING(-112.029503044552 40.6090122879674,-112.029045446991 40.6664475902155)"
9880,19309,21017,345000,3,,,,,,70316.9471945676,,,,,"","SRID=4326;LINESTRING(-111.940870922066 40.4207610076554,-111.904485739462 39.8266288635408)"
31607,498,8168,,6;3,,,,,,375.228650026984,,,,,"","SRID=4326;LINESTRING(-111.656498367684 40.3121182828142,-111.653395666169 40.3076122412708)"
40564,19668,1114,,,,,,,,1369.63737103503,,,,,"","SRID=4326;LINESTRING(-111.990662831466 41.2753376820138,-111.996657112949 41.2867303941726)"
31643,8206,8207,,3,,,,,,1483.32949063788,,,,,"","SRID=4326;LINESTRING(-110.848777402239 39.7353903521824,-110.862430056049 39.7274922517687)"
40718,246,1239,,,,,,,,3040.60698106343,,,,,"","SRID=4326;LINESTRING(-112.001511020641 41.1599199464448,-111.990915186333 41.1857175011722)"
37311,401,411,345000,,,,,,,9288.16664087339,,,,,"","SRID=4326;LINESTRING(-111.950822659424 40.7061078722967,-112.005832930404 40.7578493345651)"
31743,8281,8284,,3,,,,,,25102.0053576645,,,,,"","SRID=4326;LINESTRING(-110.85915732318 40.220639583089,-110.56765948229 40.1979069155569)"
20701,13781,25945,,,,,,,,4404.65788684796,,,,,"","SRID=4326;LINESTRING(-111.63726090487 40.1822281304653,-111.635893062771 40.1447672055589)"
26105,1089,19694,,,,,,,,3577.38150796463,,,,,"","SRID=4326;LINESTRING(-111.986890760768 41.2383434353343,-111.976354824947 41.2145316039592)"
32226,2388,8736,,,,,,,,31738.1947946551,,,,,"","SRID=4326;LINESTRING(-113.64519090263 37.4130298638964,-113.563559657536 37.1423015730948)"
2614,422,30744,,,,,,,,5033.83036056322,,,,,"","SRID=4326;LINESTRING(-112.057636544967 41.1411209891634,-112.044546130751 41.0968084309491)"
24197,3728,19293,230000,3,,,,,,76031.5339229164,,,,,"","SRID=4326;LINESTRING(-111.109484620825 41.5352105555975,-111.930079191064 41.3125827960154)"
3422,629,31074,,,,,,,,9601.76647894737,,,,,"","SRID=4326;LINESTRING(-111.896599785513 40.5394260464795,-111.937058971191 40.4723364662971)"
27655,813,3762,345000,3,,60,,,,19947.0529439526,,,,,"","SRID=4326;LINESTRING(-112.069774700388 41.6370275418135,-112.059672121755 41.8150797002007)"
26102,1198,19693,,,,,,,,172.35440258177,,,,,"","SRID=4326;LINESTRING(-111.976949411036 41.2078947403441,-111.976429924105 41.2101087008443)"
8939,19662,20573,,,,,,,,3174.45528247825,,,,,"","SRID=4326;LINESTRING(-111.987733694819 41.0748156087679,-111.987744025445 41.1033850801225)"
26040,416,19662,,,,,,,,5634.66648053221,,,,,"","SRID=4326;LINESTRING(-112.043399762625 41.094982879202,-111.987733694819 41.0748156087679)"
26103,1199,19694,,,,,,,,535.44122914715,,,,,"","SRID=4326;LINESTRING(-111.976839021088 41.2199707441551,-111.976354824947 41.2145316039592)"
37370,421,422,345000,6,,,,,,5261.68880318805,,,,,"","SRID=4326;LINESTRING(-112.057260910556 41.1901391932122,-112.057636544967 41.1411209891634)"
24423,3756,19308,345000,3,,,,,,96000.4632559631,,,,,"","SRID=4326;LINESTRING(-111.085678899732 39.3832273738367,-111.904329432602 39.8213661543016)"
37361,407,417,345000,6,,60,,,,5351.4643647687,,,,,"","SRID=4326;LINESTRING(-112.047483977627 41.3398870045286,-112.055439610181 41.3043938086688)"
40081,606,637,,,,,,,,1151.70613504471,,,,,"","SRID=4326;LINESTRING(-111.929958041178 41.2401799288153,-111.946213785669 41.2432718759094)"
40184,711,712,,,,,,,,4383.15562733627,,,,,"","SRID=4326;LINESTRING(-112.005224879026 41.1564980290802,-112.016625299591 41.1246964141388)"
26104,19693,19694,,,,,,,,489.787151213622,,,,,"","SRID=4326;LINESTRING(-111.976429924105 41.2101087008443,-111.976354824947 41.2145316039592)"
14549,8221,23099,,3,,,,,,32277.5569935565,,,,,"","SRID=4326;LINESTRING(-110.38855903837 40.2134033555803,-110.171383848452 40.3333509707266)"
37359,407,417,138000,6,,,,,,4854.87697333157,,,,,"","SRID=4326;LINESTRING(-112.047483977627 41.3398870045286,-112.055439610181 41.3043938086688)"
30842,3752,7396,230000,3,,60,Gonder - Pavant - Sigurd 230kv,,,68798.8762245327,,,,,"","SRID=4326;LINESTRING(-111.992945406239 38.8445053602366,-112.362598210715 39.1541295795525)"
1616,28723,30316,138000,,,,,,,646.059155061471,,,,,"","SRID=4326;LINESTRING(-112.0281783426 40.5661581524837,-112.030242277549 40.5587930274169)"
40082,606,637,,,,,,,,1595.79378032481,,,,,"","SRID=4326;LINESTRING(-111.929958041178 41.2401799288153,-111.946213785669 41.2432718759094)"
7970,29340,29350,,,,,,,,4133.62659617842,,,,,"","SRID=4326;LINESTRING(-111.957500910322 41.0740266973484,-111.952592932548 41.0382533972254)"
