v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
16151,-113.158964642492,37.8005741082087,substation,,,,,,SRID=4326;POINT(-113.158964642492 37.8005741082087)
30235,-112.005991610591,40.785147702607,joint,230000,,,,,SRID=4326;POINT(-112.005991610591 40.785147702607)
19293,-111.930079191064,41.3125827960154,joint,230000,,,,,SRID=4326;POINT(-111.930079191064 41.3125827960154)
711,-112.005224879026,41.1564980290802,station,,,,,,SRID=4326;POINT(-112.005224879026 41.1564980290802)
21017,-111.904485739462,39.8266288635408,joint,345000,,,,,SRID=4326;POINT(-111.904485739462 39.8266288635408)
29350,-111.952592932548,41.0382533972254,merge,,,,,,SRID=4326;POINT(-111.952592932548 41.0382533972254)
7396,-112.362598210715,39.1541295795525,sub_station,,,Pavant Substation,,,SRID=4326;POINT(-112.362598210715 39.1541295795525)
30854,-110.848922055315,39.7328378501043,joint,,,,,,SRID=4326;POINT(-110.848922055315 39.7328378501043)
8265,-110.019672420116,40.3133569818461,station,,,,,,SRID=4326;POINT(-110.019672420116 40.3133569818461)
435,-111.975717901993,40.5010337665688,station,138000,,Bangerter Substation,,,SRID=4326;POINT(-111.975717901993 40.5010337665688)
19544,-112.056234277652,41.1408507615348,joint,,,,,,SRID=4326;POINT(-112.056234277652 41.1408507615348)
23074,-111.572688497696,40.0928606081761,joint,,,,,,SRID=4326;POINT(-111.572688497696 40.0928606081761)
8991,-113.566568973602,37.1135155378009,sub_station,,,,,,SRID=4326;POINT(-113.566568973602 37.1135155378009)
28376,-111.96422572382,41.1464739343842,merge,,,substation,,,SRID=4326;POINT(-111.96422572382 41.1464739343842)
6166,-111.997726178409,41.103266286395,station,,,,,,SRID=4326;POINT(-111.997726178409 41.103266286395)
546,-111.939007469049,41.1905867145553,station,,,Weber State University substation,,,SRID=4326;POINT(-111.939007469049 41.1905867145553)
2388,-113.64519090263,37.4130298638964,sub_station,,,Red Butte Substation,,,SRID=4326;POINT(-113.64519090263 37.4130298638964)
2390,-112.938222512912,38.5622733093187,substation,,,,,,SRID=4326;POINT(-112.938222512912 38.5622733093187)
1114,-111.996657112949,41.2867303941726,station,,,,,,SRID=4326;POINT(-111.996657112949 41.2867303941726)
30927,-111.927089757992,40.4431132955794,joint,,,,,,SRID=4326;POINT(-111.927089757992 40.4431132955794)
606,-111.929958041178,41.2401799288153,sub_station,,,,,,SRID=4326;POINT(-111.929958041178 41.2401799288153)
25944,-111.635858118306,40.1417529205052,joint,,,,,,SRID=4326;POINT(-111.635858118306 40.1417529205052)
407,-112.047483977627,41.3398870045286,station,345000;230000;138000,,Ben Lomond substation,PacifiCorp,,SRID=4326;POINT(-112.047483977627 41.3398870045286)
621,-111.922870676253,40.6222034554239,sub_station,,,substation,,,SRID=4326;POINT(-111.922870676253 40.6222034554239)
397,-111.928910937153,40.7072042789408,sub_station,,,Mid-Valley Substation,,,SRID=4326;POINT(-111.928910937153 40.7072042789408)
3756,-111.085678899732,39.3832273738367,sub_station,,,Huntington Substation,,,SRID=4326;POINT(-111.085678899732 39.3832273738367)
28723,-112.0281783426,40.5661581524837,merge,,,Oquirrh Substation,,,SRID=4326;POINT(-112.0281783426 40.5661581524837)
8203,-110.849026834196,39.7336336311923,station,,,,,,SRID=4326;POINT(-110.849026834196 39.7336336311923)
607,-111.930910127178,41.2222343270441,sub_station,,,,,,SRID=4326;POINT(-111.930910127178 41.2222343270441)
8168,-111.653395666169,40.3076122412708,plant,,,,,,SRID=4326;POINT(-111.653395666169 40.3076122412708)
22714,-111.005484681454,39.1799150942054,joint,345000,60,,,,SRID=4326;POINT(-111.005484681454 39.1799150942054)
508,-111.945221045703,40.8425611975587,sub_station,,,substation,,,SRID=4326;POINT(-111.945221045703 40.8425611975587)
19294,-111.928240160014,41.3079769130452,joint,,,,,,SRID=4326;POINT(-111.928240160014 41.3079769130452)
498,-111.656498367684,40.3121182828142,sub_station,,,,,,SRID=4326;POINT(-111.656498367684 40.3121182828142)
408,-111.948535526687,40.4676698155218,station,,,Camp Williams Substation,,,SRID=4326;POINT(-111.948535526687 40.4676698155218)
414,-111.58636271598,40.0918700126605,substation,,,Spanish Fork Substation,,,SRID=4326;POINT(-111.58636271598 40.0918700126605)
30315,-112.011780790825,40.5355565124587,joint,345000;138000;138000;138000,,,,,SRID=4326;POINT(-112.011780790825 40.5355565124587)
629,-111.896599785513,40.5394260464795,sub_station,,,substation,,,SRID=4326;POINT(-111.896599785513 40.5394260464795)
412,-111.914087295408,40.4245593277729,sub_station,,,,,,SRID=4326;POINT(-111.914087295408 40.4245593277729)
21041,-110.025584493062,40.2614341189748,joint,345000;138000,,,,,SRID=4326;POINT(-110.025584493062 40.2614341189748)
13790,-111.98310687772,41.2112843657742,sub_station,,,,,,SRID=4326;POINT(-111.98310687772 41.2112843657742)
713,-111.986048813853,41.1157073127301,station,,,,,,SRID=4326;POINT(-111.986048813853 41.1157073127301)
8281,-110.85915732318,40.220639583089,station,,,,,,SRID=4326;POINT(-110.85915732318 40.220639583089)
30239,-112.042742065212,41.0931519228425,joint,138000;345000;138000,,,,,SRID=4326;POINT(-112.042742065212 41.0931519228425)
30744,-112.044546130751,41.0968084309491,joint,,,,,,SRID=4326;POINT(-112.044546130751 41.0968084309491)
712,-112.016625299591,41.1246964141388,station,,,,,,SRID=4326;POINT(-112.016625299591 41.1246964141388)
29337,-111.988617274954,41.0678077217597,merge,,,substation,,,SRID=4326;POINT(-111.988617274954 41.0678077217597)
422,-112.057636544967,41.1411209891634,sub_station,,,,,,SRID=4326;POINT(-112.057636544967 41.1411209891634)
25945,-111.635893062771,40.1447672055589,joint,,,,,,SRID=4326;POINT(-111.635893062771 40.1447672055589)
984,-111.939260574756,41.1603079001018,station,,,,,,SRID=4326;POINT(-111.939260574756 41.1603079001018)
1113,-112.00748726201,41.2742400569102,station,,,,,,SRID=4326;POINT(-112.00748726201 41.2742400569102)
23099,-110.171383848452,40.3333509707266,joint,,,,,,SRID=4326;POINT(-110.171383848452 40.3333509707266)
19669,-111.947760910464,41.2587797759252,joint,,,,,,SRID=4326;POINT(-111.947760910464 41.2587797759252)
30316,-112.030242277549,40.5587930274169,joint,345000;138000;138000;138000,,,,,SRID=4326;POINT(-112.030242277549 40.5587930274169)
19377,-111.928543880412,41.2222803736604,joint,,,,,,SRID=4326;POINT(-111.928543880412 41.2222803736604)
8167,-111.631171083523,40.2346042431464,station,,,,,,SRID=4326;POINT(-111.631171083523 40.2346042431464)
30318,-112.050102630178,41.8439728144113,joint,138000,60,,,,SRID=4326;POINT(-112.050102630178 41.8439728144113)
246,-112.001511020641,41.1599199464448,station,,,,,,SRID=4326;POINT(-112.001511020641 41.1599199464448)
3092,-111.977482043456,41.1120694379735,station,,,,,,SRID=4326;POINT(-111.977482043456 41.1120694379735)
19305,-111.910620783694,40.962386817372,joint,,,,,,SRID=4326;POINT(-111.910620783694 40.962386817372)
29626,-112.581026726745,39.5016173773662,merge,,,Delta Static Inverter,Intermountain Power Agency,,SRID=4326;POINT(-112.581026726745 39.5016173773662)
401,-111.950822659424,40.7061078722967,substation,,,Decker Lake Substation,,,SRID=4326;POINT(-111.950822659424 40.7061078722967)
30652,-112.030235622228,40.7293607432816,joint,345000,,,,,SRID=4326;POINT(-112.030235622228 40.7293607432816)
396,-111.916168279889,40.5895602693143,sub_station,,,90th South Substation,,,SRID=4326;POINT(-111.916168279889 40.5895602693143)
8165,-111.641745594283,40.1996621559489,station,,,,,,SRID=4326;POINT(-111.641745594283 40.1996621559489)
4907,-111.770549946676,41.1312392153158,station,,,,,,SRID=4326;POINT(-111.770549946676 41.1312392153158)
8204,-110.770432156836,39.7918710038886,station,,,,,,SRID=4326;POINT(-110.770432156836 39.7918710038886)
19304,-112.057524707558,41.180677961665,joint,,,,,,SRID=4326;POINT(-112.057524707558 41.180677961665)
8207,-110.862430056049,39.7274922517687,station,,,,,,SRID=4326;POINT(-110.862430056049 39.7274922517687)
3752,-111.992945406239,38.8445053602366,substation,,,Sigurd Substation,,,SRID=4326;POINT(-111.992945406239 38.8445053602366)
901,-111.968078493408,41.1812160389723,station,,,,,,SRID=4326;POINT(-111.968078493408 41.1812160389723)
13788,-111.635112392097,40.130366526459,sub_station,,,,,,SRID=4326;POINT(-111.635112392097 40.130366526459)
637,-111.946213785669,41.2432718759094,station,,,,,,SRID=4326;POINT(-111.946213785669 41.2432718759094)
13773,-111.900775548001,40.5560225285486,sub_station,,,,,,SRID=4326;POINT(-111.900775548001 40.5560225285486)
3878,-113.146245965053,37.6638163481201,substation,,,Cedar City Substation,,,SRID=4326;POINT(-113.146245965053 37.6638163481201)
18173,-110.17116681548,40.3333385077604,joint,,,,,,SRID=4326;POINT(-110.17116681548 40.3333385077604)
8266,-110.161492098977,40.2590500080229,station,,,,,,SRID=4326;POINT(-110.161492098977 40.2590500080229)
30441,-110.849121978594,39.7329706790656,joint,,,,,,SRID=4326;POINT(-110.849121978594 39.7329706790656)
8169,-111.590641476212,40.1444244187275,station,,,,,,SRID=4326;POINT(-111.590641476212 40.1444244187275)
424,-111.903673092937,40.9189428379471,sub_station,,,Parrish Substation,,,SRID=4326;POINT(-111.903673092937 40.9189428379471)
698,-112.002887074041,41.209370208867,station,,,,,,SRID=4326;POINT(-112.002887074041 41.209370208867)
31074,-111.937058971191,40.4723364662971,joint,345000,,,,,SRID=4326;POINT(-111.937058971191 40.4723364662971)
417,-112.055439610181,41.3043938086688,sub_station,,,substation,,,SRID=4326;POINT(-112.055439610181 41.3043938086688)
3728,-111.109484620825,41.5352105555975,station,,,Birch Creek Substation,,,SRID=4326;POINT(-111.109484620825 41.5352105555975)
813,-112.069774700388,41.6370275418135,station,,,,,,SRID=4326;POINT(-112.069774700388 41.6370275418135)
454,-111.892578402168,40.9134597238493,sub_station,,,,,,SRID=4326;POINT(-111.892578402168 40.9134597238493)
99,-111.949389143772,41.1882631424841,station,,,,,,SRID=4326;POINT(-111.949389143772 41.1882631424841)
413,-111.633166757869,40.1451302647644,sub_station,,,,,,SRID=4326;POINT(-111.633166757869 40.1451302647644)
411,-112.005832930404,40.7578493345651,sub_station,,,Terminal substation,,,SRID=4326;POINT(-112.005832930404 40.7578493345651)
7111,-110.990736176326,39.3345437568892,substation,,,,,,SRID=4326;POINT(-110.990736176326 39.3345437568892)
19376,-111.937762122363,41.1908136186178,joint,,,,,,SRID=4326;POINT(-111.937762122363 41.1908136186178)
431,-111.904055144874,39.8239163892665,station,,,Mona Substation,,,SRID=4326;POINT(-111.904055144874 39.8239163892665)
23102,-111.6704952692,40.3249204124627,joint,,,,,,SRID=4326;POINT(-111.6704952692 40.3249204124627)
19693,-111.976429924105,41.2101087008443,joint,,,,,,SRID=4326;POINT(-111.976429924105 41.2101087008443)
410,-112.028882681704,40.7164196901124,sub_station,,,,,,SRID=4326;POINT(-112.028882681704 40.7164196901124)
8220,-110.143971079416,40.2544817106182,station,,,,,,SRID=4326;POINT(-110.143971079416 40.2544817106182)
28836,-111.669877788932,40.3238513329193,merge,,,,,,SRID=4326;POINT(-111.669877788932 40.3238513329193)
534,-109.425571084672,40.9128045188059,sub_station,,,,,,SRID=4326;POINT(-109.425571084672 40.9128045188059)
23073,-111.575976331635,40.0926620034217,joint,,,,,,SRID=4326;POINT(-111.575976331635 40.0926620034217)
19662,-111.987733694819,41.0748156087679,joint,,,,,,SRID=4326;POINT(-111.987733694819 41.0748156087679)
19543,-112.015190611647,41.0674063850505,joint,,,,,,SRID=4326;POINT(-112.015190611647 41.0674063850505)
8166,-111.65438077815,40.3156359089907,plant,,,,,,SRID=4326;POINT(-111.65438077815 40.3156359089907)
2239,-111.802968709732,40.4487637920675,substation,,,,,,SRID=4326;POINT(-111.802968709732 40.4487637920675)
8206,-110.848777402239,39.7353903521824,sub_station,,,,,,SRID=4326;POINT(-110.848777402239 39.7353903521824)
19668,-111.990662831466,41.2753376820138,joint,,,,,,SRID=4326;POINT(-111.990662831466 41.2753376820138)
19308,-111.904329432602,39.8213661543016,joint,345000,,,,,SRID=4326;POINT(-111.904329432602 39.8213661543016)
4936,-111.863794367356,41.2167800950478,station,,,,,,SRID=4326;POINT(-111.863794367356 41.2167800950478)
1239,-111.990915186333,41.1857175011722,station,,,,,,SRID=4326;POINT(-111.990915186333 41.1857175011722)
416,-112.043399762625,41.094982879202,sub_station,,,Syracuse Substation,,,SRID=4326;POINT(-112.043399762625 41.094982879202)
21040,-110.133635562235,40.2656251137528,joint,345000;138000;345000;138000,,,,,SRID=4326;POINT(-110.133635562235 40.2656251137528)
3700,-109.290307534168,40.0860986490813,station,,,Bonanza Substation,,,SRID=4326;POINT(-109.290307534168 40.0860986490813)
8736,-113.563559657536,37.1423015730948,sub_station,,,,,,SRID=4326;POINT(-113.563559657536 37.1423015730948)
3290,-111.630056169665,40.2116648211143,sub_station,,,,,,SRID=4326;POINT(-111.630056169665 40.2116648211143)
426,-112.005149716243,40.7835081564996,sub_station,,,Grow substation,,,SRID=4326;POINT(-112.005149716243 40.7835081564996)
19,-111.989654700513,40.7327762316133,sub_station,,,Centennial Substation,,,SRID=4326;POINT(-111.989654700513 40.7327762316133)
29351,-111.891238809287,40.9818276474083,merge,,,substation,,,SRID=4326;POINT(-111.891238809287 40.9818276474083)
1198,-111.976949411036,41.2078947403441,station,,,,,,SRID=4326;POINT(-111.976949411036 41.2078947403441)
409,-112.029503044552,40.6090122879674,sub_station,138000,,substation,,,SRID=4326;POINT(-112.029503044552 40.6090122879674)
19694,-111.976354824947,41.2145316039592,joint,,,,,,SRID=4326;POINT(-111.976354824947 41.2145316039592)
8749,-113.903288470893,41.6376165507373,station,,,,,,SRID=4326;POINT(-113.903288470893 41.6376165507373)
400,-111.933978910091,40.7072031144272,sub_station,,,Parkway Substation,,,SRID=4326;POINT(-111.933978910091 40.7072031144272)
19303,-112.057519317666,41.1809726753103,joint,,,,,,SRID=4326;POINT(-112.057519317666 41.1809726753103)
1199,-111.976839021088,41.2199707441551,station,,,,,,SRID=4326;POINT(-111.976839021088 41.2199707441551)
29340,-111.957500910322,41.0740266973484,merge,,,substation,,,SRID=4326;POINT(-111.957500910322 41.0740266973484)
415,-111.933491755257,41.307013606229,sub_station,,,North Ogden Substation,,,SRID=4326;POINT(-111.933491755257 41.307013606229)
421,-112.057260910556,41.1901391932122,sub_station,,,,,,SRID=4326;POINT(-112.057260910556 41.1901391932122)
7117,-109.307970313514,38.1600814858925,sub_station,,,,,,SRID=4326;POINT(-109.307970313514 38.1600814858925)
631,-111.937169873149,41.0374752515125,sub_station,,,substation,,,SRID=4326;POINT(-111.937169873149 41.0374752515125)
20573,-111.987744025445,41.1033850801225,joint,,,,,,SRID=4326;POINT(-111.987744025445 41.1033850801225)
