l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
29162,5269,5500,345000,,,,Vermont Yankee - Vernon VT 345kV transmission line,,3381,1.87014593182952,,,,,"","SRID=4326;LINESTRING(-72.5185855495916 42.7830079658496,-72.5159256909309 42.780120475065)"
543,28119,29870,345000,3,,,West Rutland to New Haven 345kV transmission line,VELCO,370,20258.0091598716,,,,,"","SRID=4326;LINESTRING(-73.0577599192175 43.6337315061565,-73.1193821763978 43.8087552332795)"
545,29871,29870,345000,3,,,West Rutland to New Haven 345kV transmission line,VELCO,370,22823.4591335085,,,,,"","SRID=4326;LINESTRING(-73.1225455624961 44.0019734962103,-73.1193821763978 43.8087552332795)"
3330,5272,31038,345000,,,,Coolidge to West Rutland 345kV transmission line,,,7664.84028656098,,,,,"","SRID=4326;LINESTRING(-72.6604457073044 43.4290183915322,-72.7494020245629 43.4537102737438)"
29163,5269,5500,345000,,,,Vermont Yankee - Vernon VT 345kV transmission line,,3340,6.5038606205276,,,,,"","SRID=4326;LINESTRING(-72.5185855495916 42.7830079658496,-72.5159256909309 42.780120475065)"
546,5526,29871,345000,3,,,West Rutland to New Haven 345kV transmission line,VELCO,370,1546.7249966284,,,,,"","SRID=4326;LINESTRING(-73.1336632479276 44.0142868353617,-73.1225455624961 44.0019734962103)"
11810,5274,21902,345000,,,,,Vermont Transco,340,16167.3493559058,,,,,"","SRID=4326;LINESTRING(-72.652341565163 42.9681102220612,-72.6388101704163 43.0868809696678)"
28935,5274,5269,345000,,,,,Vermont Transco,340,27881.4271320342,,,,,"","SRID=4326;LINESTRING(-72.652341565163 42.9681102220612,-72.5185855495916 42.7830079658496)"
11809,5272,21902,345000,,,,,Vermont Transco,340,40652.8735243157,,,,,"","SRID=4326;LINESTRING(-72.6604457073044 43.4290183915322,-72.6388101704163 43.0868809696678)"
544,29871,29870,115000,3,,,,VELCO,K-30,22947.1354830715,,,,,"","SRID=4326;LINESTRING(-73.1225455624961 44.0019734962103,-73.1193821763978 43.8087552332795)"
3331,5272,31038,115000,,,,115kV transmission line,,,7598.35048981349,,,,,"","SRID=4326;LINESTRING(-72.6604457073044 43.4290183915322,-72.7494020245629 43.4537102737438)"
28936,21902,5269,345000,,,,,Vermont Transco,340,41150.9280491616,,,,,"","SRID=4326;LINESTRING(-72.6388101704163 43.0868809696678,-72.5185855495916 42.7830079658496)"
