v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
29870,-73.1193821763978,43.8087552332795,joint,345000;115000,,West Rutland to New Haven 345kV transmission line,VELCO,370,SRID=4326;POINT(-73.1193821763978 43.8087552332795)
5500,-72.5159256909309,42.780120475065,substation,345000,,Vermont Yankee Substation,VELCO,,SRID=4326;POINT(-72.5159256909309 42.780120475065)
21902,-72.6388101704163,43.0868809696678,joint,345000,,,Vermont Transco,340,SRID=4326;POINT(-72.6388101704163 43.0868809696678)
28119,-73.0577599192175,43.6337315061565,merge,345000,,West Rutland Substation,CVPS,,SRID=4326;POINT(-73.0577599192175 43.6337315061565)
31038,-72.7494020245629,43.4537102737438,joint,115000,,115kV transmission line,,,SRID=4326;POINT(-72.7494020245629 43.4537102737438)
5274,-72.652341565163,42.9681102220612,substation,,,,,,SRID=4326;POINT(-72.652341565163 42.9681102220612)
5269,-72.5185855495916,42.7830079658496,substation,345000,,Vernon VT Substation,VELCO,,SRID=4326;POINT(-72.5185855495916 42.7830079658496)
5526,-73.1336632479276,44.0142868353617,sub_station,,,Middlebury Substation,,,SRID=4326;POINT(-73.1336632479276 44.0142868353617)
29871,-73.1225455624961,44.0019734962103,joint,345000;115000,,West Rutland to New Haven 345kV transmission line,VELCO,370,SRID=4326;POINT(-73.1225455624961 44.0019734962103)
5272,-72.6604457073044,43.4290183915322,substation,,,Coolodge Substation,,,SRID=4326;POINT(-72.6604457073044 43.4290183915322)
