l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
4515,2115,29564,230000,3,,60,230 kV transmission Line,,,18151.8628286565,,,,,"","SRID=4326;LINESTRING(-78.8128052640685 38.2660570001899,-78.8497466805997 38.1066970838077)"
29900,6382,6384,,,,,,,,2063.22220191885,,,,,"","SRID=4326;LINESTRING(-79.3136942299068 36.6046440259838,-79.3382976761737 36.6025391613605)"
4521,3027,29564,138000;500000;138000,,,,,,,12161.4328292845,,,,,"","SRID=4326;LINESTRING(-78.9555821329232 38.0957064812075,-78.8497466805997 38.1066970838077)"
5987,28617,28597,765000,,,,Jacksons Ferry - Axton 765kV transmission line,AEP,,117860.106744612,,,,,"","SRID=4326;LINESTRING(-80.8237070555082 36.8786223675689,-79.7058796307589 36.6349209949832)"
38763,1977,16181,,,,,,,,5294.47359810896,,,,,"","SRID=4326;LINESTRING(-76.3769920030758 36.8710901221866,-76.3450211849752 36.8940694317244)"
7073,6130,28997,500000,,,,500kV transmission line,Dominion,,58150.723055788,,,,,"","SRID=4326;LINESTRING(-77.4251901247031 37.0891717887576,-77.7043230776638 37.502741414972)"
17816,1918,18992,,,,,,,,884.648791655899,,,,,"","SRID=4326;LINESTRING(-78.3012272259131 36.6008563242692,-78.2921366949572 36.5961575054867)"
29693,6124,6126,500000,3,3,60,Ladysmith - Possum Point 500kV transmission line,,568,492.534002982612,,,,,"","SRID=4326;LINESTRING(-77.3876678889147 38.4511213732317,-77.3892720023106 38.4461047774879)"
2777,2052,30815,230000,,,,Yadkin - Bowers Hill 230kV transmission line,Dominion,267C,3966.00110499373,,,,,"","SRID=4326;LINESTRING(-76.4203607936918 36.8282874459284,-76.4189272720686 36.8634389179099)"
41563,3005,2122,500000,,,,500kV transmission line,,,22763.6053596503,,,,,"","SRID=4326;LINESTRING(-77.5502727999553 38.0467587106714,-77.7971986366111 38.0611888152336)"
19052,3100,25120,230000,3,,60,230kV transmission line,,,18245.6631011997,,,,,"","SRID=4326;LINESTRING(-77.7674933047564 38.6974286418916,-77.7773115768076 38.5447885007342)"
29774,3356,6212,500000,,,,500kV transmission line,TVA,,43.6657824056024,,,,,"","SRID=4326;LINESTRING(-83.0446238595823 36.7815781048748,-83.0432534496017 36.783881940582)"
42508,1961,3083,115000,,,,115kV transmission line,,,76.3030835341065,,,,,"","SRID=4326;LINESTRING(-76.4313354807589 37.0307178548263,-76.4296862586923 37.028361438942)"
41604,2079,2162,,,,,Power Line,,,18778.2024025818,,,,,"","SRID=4326;LINESTRING(-76.4848166069042 37.5822717972968,-76.4930388277167 37.4264097500712)"
1219,1942,30153,230000,,,,Ruritan - Thrasher;South Norfolk - Ruritan 230kV transmission line,Dominion,279B,2070.39712316355,,,,,"","SRID=4326;LINESTRING(-76.2582719191642 36.8193698095309,-76.2729300342832 36.8324328441081)"
29724,6132,6154,230000,,,,,,,14143.3755959665,,,,,"","SRID=4326;LINESTRING(-78.7063963602806 36.8661079996653,-78.6000340973398 36.8095678167673)"
