v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
818,-77.5681894503496,38.8542656941076,station,,,,,,SRID=4326;POINT(-77.5681894503496 38.8542656941076)
2120,-78.4578475909324,38.0415697596821,sub_station,,,,,,SRID=4326;POINT(-78.4578475909324 38.0415697596821)
29564,-78.8497466805997,38.1066970838077,merge,,,Dooms Substation,,,SRID=4326;POINT(-78.8497466805997 38.1066970838077)
6261,-82.1246128340199,37.3012151551847,station,,,,,,SRID=4326;POINT(-82.1246128340199 37.3012151551847)
20538,-77.3708565195883,37.4992783133684,joint,230000,,230kV Transmission Line,,,SRID=4326;POINT(-77.3708565195883 37.4992783133684)
6157,-78.5393144735185,36.7277147073338,sub_station,,,,,,SRID=4326;POINT(-78.5393144735185 36.7277147073338)
6126,-77.3892720023106,38.4461047774879,sub_station,,,Stafford Substation,,,SRID=4326;POINT(-77.3892720023106 38.4461047774879)
2121,-77.7899618410256,38.0608104436536,plant,,,North Anna Nuclear Generating Station,,,SRID=4326;POINT(-77.7899618410256 38.0608104436536)
2090,-77.5218715911331,37.6704335339299,station,,,Mountain Rd Substation,Dominion,,SRID=4326;POINT(-77.5218715911331 37.6704335339299)
2132,-78.4046975788149,37.968458132504,sub_station,,,,,,SRID=4326;POINT(-78.4046975788149 37.968458132504)
18963,-82.1142829064426,37.3032619933764,joint,,,,,,SRID=4326;POINT(-82.1142829064426 37.3032619933764)
6578,-77.2920986584309,37.3494738827289,sub_station,,,,,,SRID=4326;POINT(-77.2920986584309 37.3494738827289)
28220,-77.5596478595941,36.6958791565473,merge,,,,,,SRID=4326;POINT(-77.5596478595941 36.6958791565473)
22429,-76.3085960011711,36.765676657643,joint,230000,,Yadkin - Huntsman 230kV transmission line,Dominion,231B,SRID=4326;POINT(-76.3085960011711 36.765676657643)
1967,-77.4832319505774,38.304453832039,substation,,,Fredericksburg Substation,,,SRID=4326;POINT(-77.4832319505774 38.304453832039)
1994,-76.5248675518698,36.8833778847019,station,,,Crittenden Substation,Dominion,,SRID=4326;POINT(-76.5248675518698 36.8833778847019)
