l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
1906,7888,30439,230000;230000;115000;115000,3;6;3,,60,,,,6984.82302648723,,,,,"","SRID=4326;LINESTRING(-117.355936738241 46.8860521741332,-117.286528069474 46.8633654940669)"
25769,19532,19531,230000,3,,60,,,,567.466424631592,,,,,"","SRID=4326;LINESTRING(-122.197076388549 47.2375169841247,-122.19707351394 47.2426325697594)"
31282,5452,7839,230000,3,,60,,,,41074.3718763112,,,,,"","SRID=4326;LINESTRING(-118.379610838302 46.0701473882581,-118.846125016288 46.0638144178994)"
25297,19319,19320,230000,3,2,60,,,,396.181776020947,,,,,"","SRID=4326;LINESTRING(-122.194333742155 47.467146805365,-122.196196578559 47.4704916782754)"
40674,3442,1206,230000,3,,,,,,34159.0264267788,,,,,"","SRID=4326;LINESTRING(-122.645337302127 45.9406922952443,-122.912976566393 46.1816526900294)"
19172,12629,25173,,,,,,,,1143.41958810235,,,,,"","SRID=4326;LINESTRING(-117.482685009304 47.6282401491912,-117.497411520592 47.6313733607654)"
40092,3572,642,500000,3,,60,Chief Joseph - Grand Coulee 500kV transmission line,,Chief Joseph - Grand Coulee,30169.8118661991,,,,,"","SRID=4326;LINESTRING(-119.407885660344 48.004254643433,-119.019893745597 47.9662956564547)"
4198,952,29481,500000,3,,,,,,32216.0131235892,,,,,"","SRID=4326;LINESTRING(-122.875672278663 46.7547330700897,-122.953191612899 46.9998759049773)"
14260,20922,22964,230000,3,,60,,Bonneville Power Administration,,376.529793346904,,,,,"","SRID=4326;LINESTRING(-117.659873816018 48.7427705867291,-117.663387935578 48.7411646628495)"
25405,19373,19371,230000,3,1,,,,,651.088349485058,,,,,"","SRID=4326;LINESTRING(-122.126166074966 47.9341673662849,-122.130179208666 47.9289577916791)"
35876,7889,13233,,,,,,,,13214.151310176,,,,,"","SRID=4326;LINESTRING(-117.268925303475 46.8232756104751,-117.171790806669 46.7418842776009)"
25474,3572,19399,230000,,,60,,,Chief Joseph - ?,31321.803725792,,,,,"","SRID=4326;LINESTRING(-119.407885660344 48.004254643433,-119.007779730165 47.9588682914517)"
7997,590,29358,230000,6,,,,,,33225.0012662979,,,,,"","SRID=4326;LINESTRING(-122.175242174088 47.7622429364916,-122.188417873818 47.4687033088152)"
4340,19697,29514,230000,6,,60,,,,1593.1736024862,,,,,"","SRID=4326;LINESTRING(-123.006376533187 46.151199368777,-122.993273711023 46.1403640903673)"
38391,693,15795,115000,3,,60,,,,900.381955860775,,,,,"","SRID=4326;LINESTRING(-122.70394544443 47.5318115822652,-122.691841510522 47.5374200822121)"
9467,12965,20829,230000,3,,,,,,731.84544358937,,,,,"","SRID=4326;LINESTRING(-123.190004090314 47.3124196221859,-123.187167514681 47.3189670936073)"
27344,649,3455,230000,3,,60,,,,10093.4154064249,,,,,"","SRID=4326;LINESTRING(-119.782646891876 46.620499441875,-119.897106295422 46.6422067515742)"
35772,7784,13083,115000,3,1,60,,,,149.333529849427,,,,,"","SRID=4326;LINESTRING(-122.367250779951 47.0918068859361,-122.369843828687 47.0894511570463)"
40320,19532,849,230000,3;6;3,,60,,,,862.103570762873,,,,,"","SRID=4326;LINESTRING(-122.197076388549 47.2375169841247,-122.210347682763 47.2389759692837)"
31095,30951,7644,230000,3,,60,White River - Cascade 230 kV,Puget Sound Energy,,35496.6890743455,,,,,"","SRID=4326;LINESTRING(-121.363158788048 47.2661368586061,-121.757081332478 47.2681858063251)"
40107,652,651,500000,3,3,60,,,Grand Coulee - Hanford,68403.6012530246,,,,,"","SRID=4326;LINESTRING(-119.571369268783 46.6694478157422,-119.449600704831 47.259468076468)"
40111,24977,655,230000,3,,,,,,9142.93058717393,,,,,"","SRID=4326;LINESTRING(-122.123691216358 47.971655411071,-122.122094790779 48.0539495924992)"
14210,7843,22941,230000;115000;115000;230000,6;3;3,,60,,,,2143.98059121452,,,,,"","SRID=4326;LINESTRING(-117.116405078909 46.3808390621185,-117.093241687624 46.3725180663722)"
26124,29482,19707,230000,3,,60,,Bonneville Power Administration,,4078.39348840121,,,,,"","SRID=4326;LINESTRING(-123.463606386507 46.9683341837502,-123.51933225723 46.9621399092525)"
26115,19701,19699,230000,3,,,,Bonneville Power Administration,,222.585559762761,,,,,"","SRID=4326;LINESTRING(-123.048735512431 47.0362370598094,-123.045830899791 47.0358986158289)"
25384,30727,19363,230000,3,,,,,,15125.1885331377,,,,,"","SRID=4326;LINESTRING(-122.122906168547 47.3501575660331,-122.212334004155 47.4686984855983)"
40150,29362,676,115000,,,,,,,8065.93709985479,,,,,"","SRID=4326;LINESTRING(-120.126717558287 47.352820944168,-120.077043800546 47.2948450277966)"
31484,19400,8025,230000,6,1,60,,,,44024.0699958745,,,,,"","SRID=4326;LINESTRING(-119.010704375235 47.9478218765828,-118.505801447525 47.7709604726188)"
14229,683,22948,230000,3,,60,,,,15521.4664154951,,,,,"","SRID=4326;LINESTRING(-119.538536885155 46.6907750865442,-119.434964490543 46.5789468036795)"
26687,1172,19967,,,,,,,,18659.1635819768,,,,,"","SRID=4326;LINESTRING(-121.960193303529 45.6484535351352,-121.765499315588 45.7267405769222)"
42681,692,3269,230000,3,,,,,,19281.5122773398,,,,,"","SRID=4326;LINESTRING(-123.123549909791 47.227802197475,-122.918638500843 47.3327781734002)"
41174,1179,1715,115000;230000,3,,60,,,,29063.9745086402,,,,,"","SRID=4326;LINESTRING(-119.813170909502 46.5630270775304,-120.079362716056 46.3752960324565)"
7977,676,29353,230000,3,1,60,,,Grand Coulee - ?,117141.875497841,,,,,"","SRID=4326;LINESTRING(-120.077043800546 47.2948450277966,-118.997524840398 47.9549452687885)"
18731,646,24976,230000,3,1,,,,,35739.5911850434,,,,,"","SRID=4326;LINESTRING(-122.204002213139 48.5053626446971,-122.112854569592 48.2056948181609)"
9635,646,20899,230000,3,,,,Bonneville Power Administration,,54.5706953779236,,,,,"","SRID=4326;LINESTRING(-122.204002213139 48.5053626446971,-122.20129352965 48.5040412972007)"
40535,28868,1077,230000,6,,60,,,,2365.73929221581,,,,,"","SRID=4326;LINESTRING(-122.244384728784 47.4031940176702,-122.241418078062 47.380357946487)"
25299,1077,19321,230000,6,,60,,,,4429.41760034832,,,,,"","SRID=4326;LINESTRING(-122.241418078062 47.380357946487,-122.239218424652 47.3399834696888)"
