v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
992,-120.127511750617,47.3498929670495,sub_station,,,Colockum Tap,,,SRID=4326;POINT(-120.127511750617 47.3498929670495)
19370,-122.175819284486,47.8082181691919,joint,230000,,,,,SRID=4326;POINT(-122.175819284486 47.8082181691919)
38,-122.307175106459,47.5144176785884,substation,,,Duwamish Substation,,,SRID=4326;POINT(-122.307175106459 47.5144176785884)
1234,-119.634478520595,45.9337780472847,sub_station,,,,,,SRID=4326;POINT(-119.634478520595 45.9337780472847)
15797,-122.654272955836,45.6781424548215,substation,,,Archer Substation,Clark Public Utilities,,SRID=4326;POINT(-122.654272955836 45.6781424548215)
19700,-123.046057544737,47.0352001703801,joint,500000;230000;500000;230000,,,Bonneville Power Administration,,SRID=4326;POINT(-123.046057544737 47.0352001703801)
31125,-118.791182388164,46.2110706107303,joint,230000;500000,60,,,,SRID=4326;POINT(-118.791182388164 46.2110706107303)
19433,-119.641091915637,47.9859214180881,joint,230000,60,,,,SRID=4326;POINT(-119.641091915637 47.9859214180881)
19402,-119.788594925964,46.6429269993841,joint,230000;500000;500000;230000,60,,,,SRID=4326;POINT(-119.788594925964 46.6429269993841)
30435,-117.896520118861,48.5113552948792,joint,230000;115000,60,Powerline,Bonneville Power Administration,,SRID=4326;POINT(-117.896520118861 48.5113552948792)
30437,-117.356545428302,46.8983343363378,joint,230000;115000,60,,,,SRID=4326;POINT(-117.356545428302 46.8983343363378)
22960,-117.852834633993,48.3578242630172,joint,230000,60,,,,SRID=4326;POINT(-117.852834633993 48.3578242630172)
19373,-122.126166074966,47.9341673662849,joint,230000,,,Seattle City Light,,SRID=4326;POINT(-122.126166074966 47.9341673662849)
22964,-117.663387935578,48.7411646628495,joint,230000;115000;230000;115000,60,,Bonneville Power Administration,,SRID=4326;POINT(-117.663387935578 48.7411646628495)
20657,-117.361982586336,48.9804217069999,joint,230000,,2L277;2L112,,,SRID=4326;POINT(-117.361982586336 48.9804217069999)
1222,-120.705795026377,45.7287945252705,sub_station,,,Harvalum Substation,,,SRID=4326;POINT(-120.705795026377 45.7287945252705)
19319,-122.194333742155,47.467146805365,joint,230000,60,,,,SRID=4326;POINT(-122.194333742155 47.467146805365)
18070,-122.005703342839,47.6859992938392,joint,230000,,Monroe - Novelty 230 kV transmission line,Puget Sound Energy,,SRID=4326;POINT(-122.005703342839 47.6859992938392)
19698,-122.93896893056,46.2090764812009,joint,230000,60,,,,SRID=4326;POINT(-122.93896893056 46.2090764812009)
955,-122.917635165906,46.6226991021105,station,,,Napavine Substation,,,SRID=4326;POINT(-122.917635165906 46.6226991021105)
465,-122.369958858285,47.2568131401131,substation,,,Tacoma Substation,Bonneville Power Administration,,SRID=4326;POINT(-122.369958858285 47.2568131401131)
849,-122.210347682763,47.2389759692837,substation,230000;115000,,White River Substation,Puget Sound Energy,,SRID=4326;POINT(-122.210347682763 47.2389759692837)
648,-117.373499909623,47.749294804495,substation,,,Bell Substation,Bonneville Power Administration,,SRID=4326;POINT(-117.373499909623 47.749294804495)
19321,-122.239218424652,47.3399834696888,joint,230000,60,,,,SRID=4326;POINT(-122.239218424652 47.3399834696888)
4337,-122.161505139671,46.5102355368442,sub_station,,,,,,SRID=4326;POINT(-122.161505139671 46.5102355368442)
7919,-120.06121449925,46.5175436108809,sub_station,,,,,,SRID=4326;POINT(-120.06121449925 46.5175436108809)
7920,-120.218307799922,46.9724507548745,sub_station,,,Poison Spring Substation,Puget Sound Energy,,SRID=4326;POINT(-120.218307799922 46.9724507548745)
30594,-122.239410551872,47.3383682648436,joint,230000;115000,60,,,,SRID=4326;POINT(-122.239410551872 47.3383682648436)
3254,-117.358007130124,48.9811862375888,sub_station,,,Boundary Substation,Seattle City Light,,SRID=4326;POINT(-117.358007130124 48.9811862375888)
331,-122.179397843842,47.8546895166652,station,,,Bothell Substation,,,SRID=4326;POINT(-122.179397843842 47.8546895166652)
3455,-119.897106295422,46.6422067515742,station,,,,,,SRID=4326;POINT(-119.897106295422 46.6422067515742)
19392,-122.09620249917,47.9363356908555,joint,230000,,Snohomish - Horse Ranch 230 kV transmission line;Snohomish - Monroe 230 kV transmission line;Snohomish - Horse Ranch/ Monroe 230 kV transmission lines,,,SRID=4326;POINT(-122.09620249917 47.9363356908555)
17100,-124.269373170127,48.0719550704663,substation,,,,,,SRID=4326;POINT(-124.269373170127 48.0719550704663)
31113,-117.364433953471,48.3152515569095,joint,230000,,,,,SRID=4326;POINT(-117.364433953471 48.3152515569095)
19362,-122.082653209739,47.4538658963582,joint,345000;230000;230000;345000,,,Bonneville Power Administration,Rocky Reach - Maple Valley,SRID=4326;POINT(-122.082653209739 47.4538658963582)
7888,-117.355936738241,46.8860521741332,sub_station,,,East Colfax Substation,Avista,,SRID=4326;POINT(-117.355936738241 46.8860521741332)
19372,-122.127248994041,47.9321603753225,joint,230000,,,,,SRID=4326;POINT(-122.127248994041 47.9321603753225)
2773,-117.777257810597,46.3747769158758,sub_station,,,,,,SRID=4326;POINT(-117.777257810597 46.3747769158758)
22962,-117.85806480524,48.5529989639384,joint,230000;115000;230000;115000,60,,Bonneville Power Administration,,SRID=4326;POINT(-117.85806480524 48.5529989639384)
1004,-121.641776944328,48.2729684001609,substation,,,,,,SRID=4326;POINT(-121.641776944328 48.2729684001609)
7890,-117.430716738479,47.2294755032339,sub_station,,,,,,SRID=4326;POINT(-117.430716738479 47.2294755032339)
3557,-122.594066768543,46.5055758202031,station,,,,,,SRID=4326;POINT(-122.594066768543 46.5055758202031)
657,-122.011153127919,47.6879287973971,substation,,,Novelty Hill Substation,Puget Sound Energy,,SRID=4326;POINT(-122.011153127919 47.6879287973971)
22970,-117.143907567963,47.6994839123924,joint,115000;230000;230000;115000,60,,,,SRID=4326;POINT(-117.143907567963 47.6994839123924)
533,-122.267091159655,47.5064634187469,substation,,,Creston-Nelson Substation,,,SRID=4326;POINT(-122.267091159655 47.5064634187469)
1229,-120.532214182982,45.7836299515903,sub_station,,,,,,SRID=4326;POINT(-120.532214182982 45.7836299515903)
7902,-117.26096820825,47.732001995824,sub_station,,,,,,SRID=4326;POINT(-117.26096820825 47.732001995824)
9485,-122.985177353557,46.1381342058321,station,,,,,,SRID=4326;POINT(-122.985177353557 46.1381342058321)
3472,-120.150797284383,47.3756819563932,station,,,,,,SRID=4326;POINT(-120.150797284383 47.3756819563932)
467,-122.239500422571,47.4671259749025,substation,,,,,,SRID=4326;POINT(-122.239500422571 47.4671259749025)
29358,-122.188417873818,47.4687033088152,merge,,,Talbot Substation;Maple Valley Substation,Puget Sound Energy,,SRID=4326;POINT(-122.188417873818 47.4687033088152)
532,-122.303113204559,47.6146779077539,substation,,,East Pine Substation,,,SRID=4326;POINT(-122.303113204559 47.6146779077539)
8023,-117.504153154249,47.7279652373523,sub_station,,,West Side Substation,Avista,,SRID=4326;POINT(-117.504153154249 47.7279652373523)
646,-122.204002213139,48.5053626446971,substation,,,Sedro-Woolley Substation,,,SRID=4326;POINT(-122.204002213139 48.5053626446971)
13954,-117.458405014291,47.6781925546492,substation,,,,,,SRID=4326;POINT(-117.458405014291 47.6781925546492)
19463,-117.341940363864,47.6853943086685,joint,230000,,,,,SRID=4326;POINT(-117.341940363864 47.6853943086685)
20655,-117.406546570277,48.8614985623359,joint,115000;230000;115000;230000,60,,,,SRID=4326;POINT(-117.406546570277 48.8614985623359)
30727,-122.122906168547,47.3501575660331,joint,230000,60,,,,SRID=4326;POINT(-122.122906168547 47.3501575660331)
8025,-118.505801447525,47.7709604726188,sub_station,,,,,,SRID=4326;POINT(-118.505801447525 47.7709604726188)
3456,-119.902743791917,46.6940845597652,sub_station,,,,,,SRID=4326;POINT(-119.902743791917 46.6940845597652)
25173,-117.497411520592,47.6313733607654,joint,,,,,,SRID=4326;POINT(-117.497411520592 47.6313733607654)
1288,-119.971914768543,46.1995854772206,sub_station,,,,,,SRID=4326;POINT(-119.971914768543 46.1995854772206)
3255,-117.277165648723,48.1759259330076,station,,,Sacheen Substation,,,SRID=4326;POINT(-117.277165648723 48.1759259330076)
464,-122.121614448511,47.3474962298104,substation,,,Covington Substation,,,SRID=4326;POINT(-122.121614448511 47.3474962298104)
19611,-121.040331068548,47.7558976905613,joint,345000,,Chief Joseph - Snohomish 345kV transmission line,Bonneville Power Administration,Chief Joseph - Snohomish,SRID=4326;POINT(-121.040331068548 47.7558976905613)
20901,-117.361515642052,47.7417738020061,joint,230000;115000,,,,,SRID=4326;POINT(-117.361515642052 47.7417738020061)
19437,-122.194281100879,47.4694134017496,joint,230000,60,,,,SRID=4326;POINT(-122.194281100879 47.4694134017496)
29481,-122.953191612899,46.9998759049773,merge,,,Olympia Substation,,,SRID=4326;POINT(-122.953191612899 46.9998759049773)
25178,-122.1246082166,47.3528895003845,joint,230000,60,,,,SRID=4326;POINT(-122.1246082166 47.3528895003845)
683,-119.538536885155,46.6907750865442,sub_station,,,,,,SRID=4326;POINT(-119.538536885155 46.6907750865442)
20827,-123.189165996694,47.3124720775322,joint,230000;115000;115000;230000,60,,,,SRID=4326;POINT(-123.189165996694 47.3124720775322)
30592,-122.244023490141,47.4637608211802,joint,230000;115000,60,,,,SRID=4326;POINT(-122.244023490141 47.4637608211802)
13233,-117.171790806669,46.7418842776009,substation,,,,,,SRID=4326;POINT(-117.171790806669 46.7418842776009)
31131,-120.250391045314,47.3764534026788,joint,115000;230000,60,Cascade - Rocky Reach 230 kV,Puget Sound Energy,,SRID=4326;POINT(-120.250391045314 47.3764534026788)
16445,-122.622246901482,45.6771330684131,substation,,,,,,SRID=4326;POINT(-122.622246901482 45.6771330684131)
682,-119.651782318811,47.9859756607647,station,,,Chief Joseph Substation,Bonneville Power Administration,,SRID=4326;POINT(-119.651782318811 47.9859756607647)
10795,-120.542959178488,46.65921407299,sub_station,,,,,,SRID=4326;POINT(-120.542959178488 46.65921407299)
590,-122.175242174088,47.7622429364916,substation,,,Vitulli Substation,Puget Sound Energy,,SRID=4326;POINT(-122.175242174088 47.7622429364916)
6619,-122.330168030455,47.5681612807112,substation,,,South Substation,Seattle City Light,,SRID=4326;POINT(-122.330168030455 47.5681612807112)
14180,-117.143631585121,46.7416380922717,substation,,,,,,SRID=4326;POINT(-117.143631585121 46.7416380922717)
8026,-117.58276694664,47.7458762651091,sub_station,,,,,,SRID=4326;POINT(-117.58276694664 47.7458762651091)
20419,-123.122267828665,47.2291394868748,joint,230000,,,,,SRID=4326;POINT(-123.122267828665 47.2291394868748)
20420,-123.121321184018,47.2301747979782,joint,230000,,,,,SRID=4326;POINT(-123.121321184018 47.2301747979782)
20891,-122.175808235208,47.8583528857335,joint,230000,,,,,SRID=4326;POINT(-122.175808235208 47.8583528857335)
678,-120.474698864617,47.1209466477541,sub_station,,,,,,SRID=4326;POINT(-120.474698864617 47.1209466477541)
22975,-117.16448428803,47.7129119754262,joint,230000,60,,,,SRID=4326;POINT(-117.16448428803 47.7129119754262)
2774,-117.704068344966,46.3507717681511,sub_station,,,,,,SRID=4326;POINT(-117.704068344966 46.3507717681511)
7839,-118.846125016288,46.0638144178994,sub_station,,,Wallula Substation,PacifiCorp,,SRID=4326;POINT(-118.846125016288 46.0638144178994)
19400,-119.010704375235,47.9478218765828,joint,230000,60,,,,SRID=4326;POINT(-119.010704375235 47.9478218765828)
22980,-120.467184357713,46.5813149618867,joint,230000,60,,,,SRID=4326;POINT(-120.467184357713 46.5813149618867)
3443,-117.271247417592,48.2891595675184,station,,,Usk Substation,,,SRID=4326;POINT(-117.271247417592 48.2891595675184)
19697,-123.006376533187,46.151199368777,joint,230000,60,,,,SRID=4326;POINT(-123.006376533187 46.151199368777)
22948,-119.434964490543,46.5789468036795,joint,230000,60,,,,SRID=4326;POINT(-119.434964490543 46.5789468036795)
15719,-122.624413426039,45.6790974724307,substation,,,Elmgren Substation,Clark Public Utilities,,SRID=4326;POINT(-122.624413426039 45.6790974724307)
22961,-117.852878022621,48.3597882958068,joint,230000;115000;230000;115000,60,,Bonneville Power Administration,,SRID=4326;POINT(-117.852878022621 48.3597882958068)
1710,-121.529757149282,45.7566007494584,sub_station,,,,,,SRID=4326;POINT(-121.529757149282 45.7566007494584)
1206,-122.912976566393,46.1816526900294,station,,,Lexington Substation,,,SRID=4326;POINT(-122.912976566393 46.1816526900294)
6933,-122.149773043103,47.6852565393564,substation,,,Sammamish Substation,Puget Sound Energy,,SRID=4326;POINT(-122.149773043103 47.6852565393564)
27574,-122.649630470866,45.6787473075928,joint,,,,,,SRID=4326;POINT(-122.649630470866 45.6787473075928)
7922,-120.490306544957,46.6505974621855,sub_station,230000;115000,,Pomona Heights Substation,PacifiCorp,,SRID=4326;POINT(-120.490306544957 46.6505974621855)
7873,-117.410229076807,47.8387006468805,sub_station,,,Halfmoon Substation,,,SRID=4326;POINT(-117.410229076807 47.8387006468805)
7641,-120.968977543887,47.2021851731331,substation,,,Cascade Substation,Puget Sound Energy,,SRID=4326;POINT(-120.968977543887 47.2021851731331)
22968,-117.430147199253,47.2526433606737,joint,230000;230000;115000;115000,60,,,,SRID=4326;POINT(-117.430147199253 47.2526433606737)
31129,-119.881906050228,46.3766543373168,joint,230000,,,,,SRID=4326;POINT(-119.881906050228 46.3766543373168)
20899,-122.20129352965,48.5040412972007,joint,230000,,,Bonneville Power Administration,,SRID=4326;POINT(-122.20129352965 48.5040412972007)
695,-123.85147968463,46.979462590264,sub_station,,,,,,SRID=4326;POINT(-123.85147968463 46.979462590264)
1238,-119.335856109159,46.4803115845725,station,,,Ashe Substation,,,SRID=4326;POINT(-119.335856109159 46.4803115845725)
22614,-122.327246944457,47.5669555759475,joint,230000,,,,,SRID=4326;POINT(-122.327246944457 47.5669555759475)
28090,-122.08343428296,48.1543820951972,merge,,,Murray Substation,,,SRID=4326;POINT(-122.08343428296 48.1543820951972)
7924,-120.489760810771,46.5591793643251,sub_station,230000;115000,,Union Gap Substation,PacifiCorp,,SRID=4326;POINT(-120.489760810771 46.5591793643251)
19531,-122.19707351394,47.2426325697594,joint,230000,60,,,,SRID=4326;POINT(-122.19707351394 47.2426325697594)
7843,-117.116405078909,46.3808390621185,sub_station,,,Dry Gulch Substation,Avista,,SRID=4326;POINT(-117.116405078909 46.3808390621185)
22942,-117.101526041006,46.4253491970951,joint,230000;115000,60,,,,SRID=4326;POINT(-117.101526041006 46.4253491970951)
7874,-117.565692015048,48.0126648100336,sub_station,,,Clayton Substation,,,SRID=4326;POINT(-117.565692015048 48.0126648100336)
18068,-122.091275688994,47.4538569671939,joint,345000;230000;230000;345000,,,Bonneville Power Administration,Rocky Reach - Maple Valley,SRID=4326;POINT(-122.091275688994 47.4538569671939)
30764,-119.936845550301,46.4684867324302,joint,500000,,,,Wautoma - Ostrander,SRID=4326;POINT(-119.936845550301 46.4684867324302)
1218,-119.041271132262,46.2312271022452,sub_station,,,Franklin Substation,Franklin Public Utility District,,SRID=4326;POINT(-119.041271132262 46.2312271022452)
7889,-117.268925303475,46.8232756104751,sub_station,,,Shawnee Substation,Avista,,SRID=4326;POINT(-117.268925303475 46.8232756104751)
12628,-117.50379246213,47.625967140265,station,,,,,,SRID=4326;POINT(-117.50379246213 47.625967140265)
19695,-123.008198675909,46.1534944801433,joint,230000,60,,,,SRID=4326;POINT(-123.008198675909 46.1534944801433)
19639,-122.370266544761,45.6378036586958,joint,230000,,,,,SRID=4326;POINT(-122.370266544761 45.6378036586958)
7918,-120.387470214582,46.5927251385785,sub_station,,,Moxee Substation,Bonneville Power Administration,,SRID=4326;POINT(-120.387470214582 46.5927251385785)
19398,-119.013618959175,47.9410285009786,joint,230000,60,,,,SRID=4326;POINT(-119.013618959175 47.9410285009786)
30763,-120.071466680913,47.29674939779,joint,115000;500000,60,,,Grand Coulee - Columbia,SRID=4326;POINT(-120.071466680913 47.29674939779)
24977,-122.123691216358,47.971655411071,joint,230000,,,,,SRID=4326;POINT(-122.123691216358 47.971655411071)
22963,-117.858159487671,48.5555310860954,joint,230000;115000;230000;115000,60,,Bonneville Power Administration,,SRID=4326;POINT(-117.858159487671 48.5555310860954)
674,-122.113011469473,48.1883112437155,substation,,,,,,SRID=4326;POINT(-122.113011469473 48.1883112437155)
29514,-122.993273711023,46.1403640903673,merge,,,Longview Substation,,,SRID=4326;POINT(-122.993273711023 46.1403640903673)
22959,-117.852685064498,48.3564241928103,joint,230000;115000;230000;115000,60,,,,SRID=4326;POINT(-117.852685064498 48.3564241928103)
19696,-123.008811057438,46.1502975650094,joint,230000,60,,,,SRID=4326;POINT(-123.008811057438 46.1502975650094)
12965,-123.190004090314,47.3124196221859,substation,,,,,,SRID=4326;POINT(-123.190004090314 47.3124196221859)
1179,-119.813170909502,46.5630270775304,sub_station,,,,,,SRID=4326;POINT(-119.813170909502 46.5630270775304)
22976,-117.115520625322,47.7137112644605,joint,230000;230000;115000;115000,60,,,,SRID=4326;POINT(-117.115520625322 47.7137112644605)
3558,-122.592317027688,46.5226151929967,station,,,Silver Creek Substation,,,SRID=4326;POINT(-122.592317027688 46.5226151929967)
25206,-121.470042071169,47.3899386149328,joint,115000;345000,,,Bonneville Power Administration,Rocky Reach - Maple Valley,SRID=4326;POINT(-121.470042071169 47.3899386149328)
940,-122.706590528286,48.8485284335278,sub_station,,,,,,SRID=4326;POINT(-122.706590528286 48.8485284335278)
1005,-121.242370233234,48.6744112726321,substation,,,,,,SRID=4326;POINT(-121.242370233234 48.6744112726321)
