l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
5859,383,28558,765000,3,,60,Kammer - Belmont 765 kV transmission line,AEP,,77923.6419964858,,,,,"","SRID=4326;LINESTRING(-80.8060468604617 39.8338365936824,-81.3089875076312 39.3451336440092)"
29768,6206,6207,765000,3,,60,,,,24190.8552004065,,,,,"","SRID=4326;LINESTRING(-82.0802511690944 38.4146425026465,-81.829421235864 38.4737109609797)"
22879,26985,26986,,3,,60,,,,283.759598830717,,,,,"","SRID=4326;LINESTRING(-81.4002068768674 39.3218910557264,-81.3969253311345 39.3222185778477)"
42648,3581,3239,500000,3,,60,,,,126220.454702382,,,,,"","SRID=4326;LINESTRING(-80.3318578738836 39.3801848713429,-80.5700606409073 40.4542505065349)"
3013,5307,30911,,,,,,,,3010.85688359304,,,,,"","SRID=4326;LINESTRING(-81.3001632946034 37.700763368951,-81.2679717365543 37.7023503883863)"
1015,18548,30073,,,,,,,,3029.1545572588,,,,,"","SRID=4326;LINESTRING(-82.0316618853217 38.9477500035168,-82.0611773454926 38.9627530928325)"
27483,3037,3581,500000,,,,Harrison - Pruntytown 500kV transmission line,,,23426.7327402173,,,,,"","SRID=4326;LINESTRING(-80.0646600360364 39.3509528208651,-80.3318578738836 39.3801848713429)"
12180,18567,18570,,,,,,,,26417.6685762035,,,,,"","SRID=4326;LINESTRING(-82.6199749429301 38.1640359646629,-82.442990931778 38.2493160148502)"
8451,2580,20365,,,,,,,,3037.675769735,,,,,"","SRID=4326;LINESTRING(-80.6528240162688 40.0278797203536,-80.6271224925719 40.010187502099)"
12893,6271,22377,,,,,,,,4436.61620728959,,,,,"","SRID=4326;LINESTRING(-81.4347263041009 37.5778844100373,-81.4843641967872 37.5872316871309)"
29563,18539,5957,,,,,,,,57.0464780677617,,,,,"","SRID=4326;LINESTRING(-81.3755879176854 37.3723729712865,-81.3744543211885 37.3710095665233)"
42474,2560,3037,500000,,,,Fort Martin - Pruntytown 500kV transmission line,,,44538.4259177959,,,,,"","SRID=4326;LINESTRING(-79.9335546732042 39.7180202894064,-80.0646600360364 39.3509528208651)"
12113,17214,18537,,,,,,,,132.274894267339,,,,,"","SRID=4326;LINESTRING(-81.996970307274 37.8481352230918,-81.9989758752253 37.8462469871373)"
1801,18560,30393,,,,,,,,3373.12396122063,,,,,"","SRID=4326;LINESTRING(-79.7178189260655 39.3377469809695,-79.680536102025 39.3293961587912)"
1800,3026,30393,500000,3,2,,,,,38861.1882188771,,,,,"","SRID=4326;LINESTRING(-79.2713199334166 39.2028688043979,-79.680536102025 39.3293961587912)"
12089,18527,18529,,,,,,,,217.649061270939,,,,,"","SRID=4326;LINESTRING(-81.84946989131 38.0891709695048,-81.849409883849 38.0879129570908)"
12201,6262,18572,,,,,,,,183.405452779949,,,,,"","SRID=4326;LINESTRING(-81.3536994872955 37.5751583700835,-81.3562936325184 37.5770040064097)"
39646,14628,17175,,,,,,,,60590.6577965058,,,,,"","SRID=4326;LINESTRING(-81.3162355470585 38.7920848217007,-81.6204089578172 39.2446791702622)"
36408,18537,13803,,,,,,,,28964.6398844626,,,,,"","SRID=4326;LINESTRING(-81.9989758752253 37.8462469871373,-82.1878208022683 37.6350175592704)"
