l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
19383,25387,25294,,,,,,,,14266.8241765239,,,,,"","SRID=4326;LINESTRING(-88.1195414216962 45.0957038946878,-88.1192591710339 45.1031105841992)"
35823,9049,13155,69000,,,,,,,1303.12469215064,,,,,"","SRID=4326;LINESTRING(-88.1778314394271 45.2842287762989,-88.1610000201277 45.2881617232248)"
89,23412,29672,345000,3,,60,,,,59.9468004013234,,,,,"","SRID=4326;LINESTRING(-88.5267700182066 44.7616258144252,-88.526711429267 44.760903001759)"
25943,6504,19617,345000,6,,60,,,,26672.6933965689,,,,,"","SRID=4326;LINESTRING(-88.0081359847642 43.1302803318562,-88.0146127167878 43.3645120742379)"
20829,13917,25994,,,,,,,,6345.35832971633,,,,,"","SRID=4326;LINESTRING(-91.2387795515178 43.8277953638304,-91.1749765263325 43.8462551597755)"
6879,28902,28903,345000,3,,60,,,,64464.9059947005,,,,,"","SRID=4326;LINESTRING(-88.2748101857786 43.8874351603087,-88.3185919678657 43.3569576126715)"
25518,19411,19423,345000,3,,60,,,,282.830802515347,,,,,"","SRID=4326;LINESTRING(-87.8842664504098 42.8247508676099,-87.8877421220756 42.8248128001395)"
25631,740,19480,345000,3,,60,,,,552.605851807669,,,,,"","SRID=4326;LINESTRING(-89.1119471075441 42.5362739193543,-89.1200573170378 42.5353137028568)"
15266,9089,23445,345000;161000,6,,60,,,,50255.9587914781,,,,,"","SRID=4326;LINESTRING(-91.7869493106273 46.2369159806711,-92.0153492169849 46.6392684829601)"
40110,19407,653,230000,3;6;3;3;6,,60,,,,4775.37532458687,,,,,"","SRID=4326;LINESTRING(-87.883319895595 42.8322476788789,-87.8347710924705 42.8426037574587)"
32553,23444,9083,345000;69000;345000;69000,6;3;6,,60,,,,2341.15788688108,,,,,"","SRID=4326;LINESTRING(-91.5120042986717 45.8919372667841,-91.5115457087192 45.8706573415446)"
18353,11782,24814,,,,,,,,4496.57214624896,,,,,"","SRID=4326;LINESTRING(-91.8114147691618 46.1505091656585,-91.8194924101972 46.110829886398)"
18519,23443,24883,,,,,,,,2857.5296800751,,,,,"","SRID=4326;LINESTRING(-91.4640172843409 45.830498575487,-91.4300756091403 45.8205738650316)"
15155,22477,23397,138000,3,,60,,,,1810.99721029466,,,,,"","SRID=4326;LINESTRING(-87.876545969532 44.2005382633538,-87.8798876125574 44.2144991714097)"
15205,19616,23423,345000;138000,6,,60,,,,25.1364419260411,,,,,"","SRID=4326;LINESTRING(-88.0700448783619 43.3621220980933,-88.0697169034517 43.3621176570062)"
21003,9040,26071,,,,,,,,1252.15218778562,,,,,"","SRID=4326;LINESTRING(-88.4313624264526 44.7813821726326,-88.4483351463097 44.781039993913)"
20986,26060,26061,,,,,,,,94.1835812888028,,,,,"","SRID=4326;LINESTRING(-91.8275375422187 46.0999336782218,-91.82630217904 46.0999075166588)"
32554,9087,9088,,3,,60,,,,173.510664444417,,,,,"","SRID=4326;LINESTRING(-91.7322687538233 46.1526567088557,-91.7351938945039 46.1527578174325)"
25507,97,19418,230000;138000,9,,60,,,,1812.15399981795,,,,,"","SRID=4326;LINESTRING(-88.0537799981957 43.0287273177891,-88.0518956756877 43.0107153846658)"
