v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
26073,-88.4302799074142,44.7341947767219,joint,,,,,,SRID=4326;POINT(-88.4302799074142 44.7341947767219)
26057,-91.8299537408384,46.0926637744258,joint,,,,,,SRID=4326;POINT(-91.8299537408384 46.0926637744258)
23420,-89.5466509859595,44.8582788703931,joint,345000;138000;345000;138000,60,,,,SRID=4326;POINT(-89.5466509859595 44.8582788703931)
24785,-91.5222325164967,45.9886328900679,joint,,,,,,SRID=4326;POINT(-91.5222325164967 45.9886328900679)
22568,-91.9083704667666,44.2972068624337,joint,,,,,,SRID=4326;POINT(-91.9083704667666 44.2972068624337)
14076,-88.5271126129978,44.761241726941,substation,,,,,,SRID=4326;POINT(-88.5271126129978 44.761241726941)
9022,-88.3545119437798,44.3675596124995,station,,,North Appleton Substation,American Transmission Company,,SRID=4326;POINT(-88.3545119437798 44.3675596124995)
26100,-91.8269056672479,46.1039815945108,joint,,,,,,SRID=4326;POINT(-91.8269056672479 46.1039815945108)
9038,-89.6483155463035,44.8590847867101,station,,,,,,SRID=4326;POINT(-89.6483155463035 44.8590847867101)
19480,-89.1200573170378,42.5353137028568,joint,345000,60,,,,SRID=4326;POINT(-89.1200573170378 42.5353137028568)
23443,-91.4640172843409,45.830498575487,joint,345000;345000;69000,60,,,,SRID=4326;POINT(-91.4640172843409 45.830498575487)
14099,-88.4464499701429,44.7348509405918,substation,,,,,,SRID=4326;POINT(-88.4464499701429 44.7348509405918)
14077,-88.5825829880082,44.7716560580524,substation,,,,,,SRID=4326;POINT(-88.5825829880082 44.7716560580524)
9055,-88.1829417247004,43.3603230668792,sub_station,,,,,,SRID=4326;POINT(-88.1829417247004 43.3603230668792)
14041,-91.8201897587867,46.1106470093884,substation,,,,Dahlberg,,SRID=4326;POINT(-91.8201897587867 46.1106470093884)
653,-87.8347710924705,42.8426037574587,sub_station,,,Oak Creek Station,,,SRID=4326;POINT(-87.8347710924705 42.8426037574587)
26084,-88.6261271022283,44.7735922775148,joint,,,,,,SRID=4326;POINT(-88.6261271022283 44.7735922775148)
13984,-91.2188411810726,43.8692161214308,substation,,,,,,SRID=4326;POINT(-91.2188411810726 43.8692161214308)
656,-87.9008190450556,42.5528761590892,sub_station,,,,,,SRID=4326;POINT(-87.9008190450556 42.5528761590892)
9034,-88.4944062586547,43.734925858969,station,,,South Fond du Lac Station,American Transmission Company,,SRID=4326;POINT(-88.4944062586547 43.734925858969)
23413,-88.6312426484453,44.7625589060094,joint,345000;138000;138000;345000,60,,,,SRID=4326;POINT(-88.6312426484453 44.7625589060094)
25286,-88.1210324454048,45.0234930204228,joint,,,,,,SRID=4326;POINT(-88.1210324454048 45.0234930204228)
26047,-91.8271792042519,46.1013488757038,joint,,,,,,SRID=4326;POINT(-91.8271792042519 46.1013488757038)
988,-88.1483195470058,43.272654210378,sub_station,,,,,,SRID=4326;POINT(-88.1483195470058 43.272654210378)
30216,-91.8305708420199,46.1070297432199,joint,,,,,,SRID=4326;POINT(-91.8305708420199 46.1070297432199)
19617,-88.0146127167878,43.3645120742379,joint,345000;138000;345000;345000,60,,,,SRID=4326;POINT(-88.0146127167878 43.3645120742379)
26103,-91.8209616946759,46.1015232190424,joint,,,,,,SRID=4326;POINT(-91.8209616946759 46.1015232190424)
4344,-91.9944180673354,44.4095723423657,station,,,,,,SRID=4326;POINT(-91.9944180673354 44.4095723423657)
26096,-91.8337396906033,46.0999830114211,joint,,,,,,SRID=4326;POINT(-91.8337396906033 46.0999830114211)
9082,-91.5209780639527,45.8984126921378,station,,,Stone Lake Substation,Northern States Power (Wisconsin),,SRID=4326;POINT(-91.5209780639527 45.8984126921378)
19408,-87.88478720378,42.8320456974827,joint,138000;230000,60,,,,SRID=4326;POINT(-87.88478720378 42.8320456974827)
13551,-88.261660112857,45.9253160926893,substation,,,,,,SRID=4326;POINT(-88.261660112857 45.9253160926893)
19100,-87.8445400739372,43.7110329908945,joint,345000,60,,,,SRID=4326;POINT(-87.8445400739372 43.7110329908945)
26048,-91.8266104808455,46.1043003051557,joint,,,,,,SRID=4326;POINT(-91.8266104808455 46.1043003051557)
9040,-88.4313624264526,44.7813821726326,sub_station,,,,,,SRID=4326;POINT(-88.4313624264526 44.7813821726326)
9088,-91.7351938945039,46.1527578174325,sub_station,,,,,,SRID=4326;POINT(-91.7351938945039 46.1527578174325)
25771,-88.2405702721157,45.9139204125517,joint,,,,,,SRID=4326;POINT(-88.2405702721157 45.9139204125517)
11781,-91.7884474773818,46.1726564731461,sub_station,,,,,,SRID=4326;POINT(-91.7884474773818 46.1726564731461)
25287,-88.2460083135197,44.9140879682472,joint,,,,,,SRID=4326;POINT(-88.2460083135197 44.9140879682472)
19424,-87.8835559728516,42.8221854886613,joint,138000;345000;345000;138000,60,,,,SRID=4326;POINT(-87.8835559728516 42.8221854886613)
26051,-91.829713800826,46.1070302912234,joint,,,,,,SRID=4326;POINT(-91.829713800826 46.1070302912234)
26101,-91.829688288672,46.1061694932274,joint,,,,,,SRID=4326;POINT(-91.829688288672 46.1061694932274)
11782,-91.8114147691618,46.1505091656585,sub_station,,,,,,SRID=4326;POINT(-91.8114147691618 46.1505091656585)
22195,-87.8759442779547,43.6967030980953,joint,345000,60,,,,SRID=4326;POINT(-87.8759442779547 43.6967030980953)
23423,-88.0697169034517,43.3621176570062,joint,345000;138000;345000,60,,,,SRID=4326;POINT(-88.0697169034517 43.3621176570062)
26064,-91.8192102493665,46.1014976188225,joint,,,,,,SRID=4326;POINT(-91.8192102493665 46.1014976188225)
14133,-88.6977432494425,44.7085253598633,substation,,,,,,SRID=4326;POINT(-88.6977432494425 44.7085253598633)
19388,-87.9026334945405,42.5065321703565,joint,345000,60,Pleasant Prairie - Racine 345kV transmission line,,,SRID=4326;POINT(-87.9026334945405 42.5065321703565)
28436,-91.5003806589315,44.8381073525217,merge,,,,,,SRID=4326;POINT(-91.5003806589315 44.8381073525217)
23399,-88.1261145742932,44.2193966950401,joint,345000,60,Forest Junction - Cypress 345kV,American Transmission Company,,SRID=4326;POINT(-88.1261145742932 44.2193966950401)
25291,-88.1203587987732,45.0667287080387,joint,,,,,,SRID=4326;POINT(-88.1203587987732 45.0667287080387)
26077,-88.5543434465266,44.7610898970582,joint,,,,,,SRID=4326;POINT(-88.5543434465266 44.7610898970582)
26102,-91.8278778240483,46.0999301900141,joint,,,,,,SRID=4326;POINT(-91.8278778240483 46.0999301900141)
4588,-89.0426222787251,42.9770529629835,station,,,Rockdale Substation,American Transmission Company,,SRID=4326;POINT(-89.0426222787251 42.9770529629835)
25994,-91.1749765263325,43.8462551597755,joint,,,,,,SRID=4326;POINT(-91.1749765263325 43.8462551597755)
13249,-87.9839706027427,45.4927417645062,substation,,,,,,SRID=4326;POINT(-87.9839706027427 45.4927417645062)
12863,-88.1592950645285,45.1009617433418,sub_station,,,,,,SRID=4326;POINT(-88.1592950645285 45.1009617433418)
9087,-91.7322687538233,46.1526567088557,sub_station,,,,,,SRID=4326;POINT(-91.7322687538233 46.1526567088557)
23414,-88.1949253453937,44.8329015911142,joint,138000;345000;345000;138000,60,,,,SRID=4326;POINT(-88.1949253453937 44.8329015911142)
6508,-87.9081572432062,42.5382453699844,station,,,Pleasant Prairie Substation,,,SRID=4326;POINT(-87.9081572432062 42.5382453699844)
19481,-89.1203577136688,42.536185793919,joint,345000,60,,,,SRID=4326;POINT(-89.1203577136688 42.536185793919)
26140,-89.1744129375754,44.9283908681867,joint,,,,,,SRID=4326;POINT(-89.1744129375754 44.9283908681867)
26063,-91.8192275868514,46.0997762726304,joint,,,,,,SRID=4326;POINT(-91.8192275868514 46.0997762726304)
28503,-89.4176197626229,43.2566067611051,merge,,,North Madison Substation,American Transmission Company,,SRID=4326;POINT(-89.4176197626229 43.2566067611051)
27004,-91.8216834910067,46.1015232190424,joint,,,,,,SRID=4326;POINT(-91.8216834910067 46.1015232190424)
