l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
35706,12523,13004,115000,3,,60,,,,88534.6679435366,,,,,"","SRID=4326;LINESTRING(-109.005358987977 44.4024008688527,-108.3380854652 44.7921393496538)"
31488,7583,8027,230000,3,,60,,,,39113.5430715019,,,,,"","SRID=4326;LINESTRING(-106.359684136497 42.872186330428,-105.949223726707 42.8822427254128)"
31022,7567,7569,230000,3,,60,,,,3599.02895159919,,,,,"","SRID=4326;LINESTRING(-105.778598759222 42.8371714374259,-105.779464831796 42.8616510360426)"
31928,8431,8433,,3,,,,,,53480.5386123679,,,,,"","SRID=4326;LINESTRING(-109.981871222552 41.5654588490697,-110.064858146045 42.027001180402)"
36127,13004,13485,,,,,,,,29697.991817816,,,,,"","SRID=4326;LINESTRING(-108.3380854652 44.7921393496538,-108.646568168912 44.7847844684761)"
31798,6898,8316,230000,3,,60,,,,55350.5894193699,,,,,"","SRID=4326;LINESTRING(-109.272800277922 41.5368246520508,-109.34709818285 41.0643825844602)"
31922,7693,8430,230000,3,,60,,,,20173.881707142,,,,,"","SRID=4326;LINESTRING(-110.033033016363 41.6946101381016,-110.045573465978 41.8772768840919)"
31510,8032,8051,230000,3,,60,,,,19907.3255156654,,,,,"","SRID=4326;LINESTRING(-105.891390350463 44.1677201724856,-105.896586867834 44.319897364073)"
31144,7692,7698,230000,3,,60,,,,3200.77174563863,,,,,"","SRID=4326;LINESTRING(-110.328839483333 41.823670129051,-110.32839138636 41.793746544282)"
13310,6488,22523,230000,6,,60,,,,731.557908470002,,,,,"","SRID=4326;LINESTRING(-109.243112767584 41.6307188432106,-109.232929501819 41.6322122581863)"
5315,8189,28408,230000,3,,60,,,,31044.7114777605,,,,,"","SRID=4326;LINESTRING(-106.229890999036 42.1799311068332,-106.3947149727 41.9605357909177)"
12250,12523,18579,,3,,,,,,17208.8506676254,,,,,"","SRID=4326;LINESTRING(-109.005358987977 44.4024008688527,-109.122992868864 44.5105810166995)"
31020,8187,7567,230000,3,,60,,,,71081.4350306767,,,,,"","SRID=4326;LINESTRING(-106.229860514647 42.3488906990121,-105.778598759222 42.8371714374259)"
3835,30394,31235,115000,3;6;3,,,,,,176.426043325099,,,,,"","SRID=4326;LINESTRING(-104.811270007299 41.1130102529917,-104.813708255413 41.1123957870432)"
