v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
3729,-110.600461173747,41.7584755926338,station,,,Naughton Substation,PacifiCorp,,SRID=4326;POINT(-110.600461173747 41.7584755926338)
3424,-108.790057401076,41.7342223070526,station,,,,,,SRID=4326;POINT(-108.790057401076 41.7342223070526)
8053,-105.385430747002,44.2910165725782,substation,,,Wyodak Substation,,,SRID=4326;POINT(-105.385430747002 44.2910165725782)
9066,-111.023997088477,43.1605289601113,sub_station,,,,,,SRID=4326;POINT(-111.023997088477 43.1605289601113)
23433,-111.01665334555,43.1751913013449,joint,,,,,,SRID=4326;POINT(-111.01665334555 43.1751913013449)
3596,-109.207778924594,41.5989933870835,substation,,,,,,SRID=4326;POINT(-109.207778924594 41.5989933870835)
7583,-106.359684136497,42.872186330428,sub_station,,,,,,SRID=4326;POINT(-106.359684136497 42.872186330428)
11968,-109.129869497447,44.5127243333756,station,,,,,,SRID=4326;POINT(-109.129869497447 44.5127243333756)
31279,-108.785899973588,43.2191693028728,joint,,,,,,SRID=4326;POINT(-108.785899973588 43.2191693028728)
25748,-108.744667925947,44.7900177947171,joint,,,,,,SRID=4326;POINT(-108.744667925947 44.7900177947171)
29657,-108.746574049025,43.1565845776121,joint,,,,,,SRID=4326;POINT(-108.746574049025 43.1565845776121)
30965,-105.365561509677,43.5585734036119,joint,69000;230000;69000,60,,,,SRID=4326;POINT(-105.365561509677 43.5585734036119)
7967,-105.777720464249,42.9465343741297,sub_station,,,,,,SRID=4326;POINT(-105.777720464249 42.9465343741297)
8426,-110.090783269789,41.8812027358561,station,,,,,,SRID=4326;POINT(-110.090783269789 41.8812027358561)
7968,-105.779934381828,43.7725271945942,sub_station,,,Pumpkin Buttes Substation,Powder River Energy Corporation,,SRID=4326;POINT(-105.779934381828 43.7725271945942)
8136,-108.523350558467,41.5753352203306,sub_station,,,,,,SRID=4326;POINT(-108.523350558467 41.5753352203306)
8434,-110.094452874447,41.8834459405625,station,,,,,,SRID=4326;POINT(-110.094452874447 41.8834459405625)
8184,-106.551887570466,41.8572311103802,sub_station,,,Miners Substation,,,SRID=4326;POINT(-106.551887570466 41.8572311103802)
7009,-105.381161998983,44.2852994906148,substation,,,,,,SRID=4326;POINT(-105.381161998983 44.2852994906148)
8063,-106.941826957128,44.827859718466,substation,,,Sheridan Substation,,,SRID=4326;POINT(-106.941826957128 44.827859718466)
13487,-108.891341823254,44.7248170155344,substation,,,,,,SRID=4326;POINT(-108.891341823254 44.7248170155344)
3595,-107.930660417556,42.2048930892629,station,,,Mustang Substation,PacifiCorp,,SRID=4326;POINT(-107.930660417556 42.2048930892629)
8103,-108.486405325502,43.9162471317765,substation,,,Grass Creek Substation,,,SRID=4326;POINT(-108.486405325502 43.9162471317765)
28715,-105.36548990087,43.5624294339431,merge,,,Teckla Substation,,,SRID=4326;POINT(-105.36548990087 43.5624294339431)
